,Hydration Waters
0,62
1,60
2,55
3,61
4,59
5,63
6,67
7,67
8,66
9,68
10,69
11,65
12,60
13,67
14,61
15,61
16,65
17,63
18,63
19,65
20,67
21,62
22,67
23,68
24,64
25,60
26,61
27,64
28,62
29,65
30,62
31,67
32,66
33,62
34,66
35,63
36,65
37,58
38,61
39,66
40,62
41,57
42,62
43,62
44,61
45,62
46,63
47,62
48,65
49,65
50,63
51,65
52,69
53,67
54,64
55,61
56,60
57,66
58,66
59,61
60,66
61,63
62,65
63,56
64,67
65,61
66,65
67,66
68,63
69,64
70,63
71,60
72,61
73,64
74,66
75,70
76,61
77,66
78,66
79,62
80,68
81,64
82,61
83,66
84,61
85,63
86,59
87,58
88,56
89,61
90,59
91,65
92,62
93,60
94,60
95,60
96,60
97,61
98,62
99,62
100,63
101,57
102,64
103,59
104,62
105,62
106,63
107,60
108,63
109,69
110,63
111,56
112,58
113,60
114,64
115,62
116,63
117,59
118,66
119,63
120,60
121,64
122,59
123,65
124,63
125,61
126,62
127,64
128,62
129,62
130,58
131,62
132,63
133,60
134,63
135,61
136,66
137,56
138,60
139,64
140,67
141,64
142,68
143,63
144,59
145,64
146,58
147,61
148,60
149,58
150,54
151,52
152,58
153,57
154,63
155,64
156,63
157,60
158,58
159,57
160,63
161,60
162,60
163,65
164,57
165,62
166,62
167,64
168,64
169,60
170,63
171,62
172,60
173,59
174,64
175,61
176,62
177,63
178,59
179,59
180,67
181,61
182,65
183,64
184,66
185,67
186,61
187,60
188,60
189,59
190,64
191,59
192,57
193,55
194,60
195,62
196,64
197,66
198,63
199,61
200,60
201,55
202,56
203,62
204,57
205,64
206,59
207,62
208,61
209,60
210,64
211,66
212,63
213,69
214,62
215,59
216,61
217,64
218,65
219,65
220,71
221,65
222,64
223,64
224,64
225,64
226,66
227,66
228,63
229,70
230,64
231,61
232,61
233,60
234,64
235,63
236,62
237,60
238,63
239,68
240,63
241,69
242,63
243,61
244,64
245,62
246,62
247,64
248,61
249,64
250,62
251,58
252,59
253,63
254,57
255,61
256,59
257,62
258,64
259,59
260,61
261,62
262,61
263,58
264,56
265,59
266,59
267,58
268,63
269,62
270,57
271,60
272,63
273,63
274,61
275,61
276,63
277,59
278,60
279,63
280,66
281,64
282,66
283,67
284,69
285,71
286,67
287,62
288,62
289,59
290,59
291,60
292,57
293,57
294,64
295,61
296,66
297,69
298,61
299,60
300,67
301,61
302,63
303,61
304,65
305,64
306,66
307,64
308,64
309,66
310,65
311,68
312,67
313,65
314,64
315,57
316,59
317,61
318,66
319,62
320,63
321,60
322,59
323,64
324,61
325,66
326,65
327,66
328,62
329,67
330,70
331,69
332,66
333,69
334,66
335,64
336,62
337,65
338,66
339,70
340,71
341,64
342,69
343,65
344,62
345,67
346,66
347,64
348,70
349,68
350,68
351,65
352,64
353,66
354,67
355,61
356,62
357,67
358,68
359,65
360,71
361,68
362,65
363,69
364,71
365,66
366,70
367,66
368,71
369,67
370,64
371,65
372,69
373,65
374,66
375,64
376,67
377,68
378,71
379,73
380,66
381,68
382,64
383,72
384,65
385,63
386,59
387,68
388,70
389,69
390,71
391,73
392,67
393,67
394,63
395,65
396,64
397,67
398,67
399,69
400,66
401,64
402,65
403,65
404,64
405,61
406,64
407,60
408,61
409,60
410,61
411,63
412,61
413,59
414,62
415,64
416,62
417,62
418,59
419,62
420,61
421,62
422,61
423,61
424,63
425,62
426,61
427,57
428,64
429,59
430,66
431,63
432,64
433,59
434,63
435,64
436,66
437,70
438,66
439,67
440,69
441,63
442,61
443,63
444,67
445,60
446,63
447,60
448,61
449,63
450,60
451,60
452,59
453,63
454,70
455,64
456,60
457,64
458,64
459,57
460,58
461,64
462,66
463,65
464,63
465,63
466,62
467,61
468,64
469,61
470,55
471,63
472,61
473,62
474,64
475,53
476,59
477,58
478,59
479,63
480,60
481,63
482,64
483,58
484,56
485,67
