,Hydration Waters
0,164
1,231
2,226
3,185
4,230
5,238
6,179
7,166
8,170
9,164
10,228
11,225
12,243
13,226
14,160
15,190
16,161
17,214
18,160
19,169
20,194
21,213
22,198
23,154
24,198
25,175
26,227
27,166
28,168
29,197
30,181
31,231
32,175
33,237
34,237
35,169
36,167
37,155
38,166
39,171
40,161
41,161
42,235
43,244
44,237
45,164
46,173
47,165
48,200
49,219
50,212
51,198
52,202
53,196
54,163
55,227
56,236
57,195
58,211
59,173
60,183
61,240
62,218
63,217
64,209
65,158
66,163
67,214
68,198
69,168
70,168
71,215
72,213
73,236
74,227
75,193
76,155
77,215
78,165
79,196
80,235
81,236
82,175
83,167
84,160
85,216
86,228
87,168
88,165
89,158
90,201
91,196
92,203
93,166
94,240
95,197
96,197
97,169
98,201
99,223
100,190
101,158
102,156
103,169
104,190
105,196
106,217
107,187
108,238
109,188
110,231
111,233
112,179
113,160
114,256
115,169
116,226
117,175
118,239
119,165
120,174
121,193
122,152
123,170
124,159
125,184
126,235
127,227
128,222
129,180
130,174
131,161
132,185
133,216
134,224
135,227
136,232
137,159
138,178
139,164
140,219
141,204
142,164
143,175
144,220
145,167
146,236
147,163
148,175
149,170
150,185
151,161
152,163
153,200
154,153
155,162
156,188
157,162
158,171
159,214
160,226
161,170
162,215
163,191
164,165
165,177
166,236
167,164
168,174
169,244
170,175
171,230
172,158
173,220
174,158
175,239
176,241
177,160
178,176
179,158
180,166
181,227
182,239
183,170
184,225
185,244
186,168
187,167
188,162
189,164
190,185
191,185
192,232
193,173
194,219
195,198
196,169
197,173
198,148
199,173
200,157
201,197
202,166
203,169
204,204
205,233
206,206
207,250
208,166
209,176
210,155
211,171
212,191
213,237
214,156
215,169
216,176
217,166
218,162
219,161
220,226
221,221
222,160
223,196
224,170
225,169
226,164
227,211
228,202
229,163
230,171
231,175
232,155
233,213
234,169
235,198
236,164
237,213
238,166
239,184
240,168
241,200
242,157
243,210
244,190
245,238
246,215
247,202
248,221
249,171
250,161
251,175
252,155
253,202
254,220
255,184
256,238
257,251
258,203
259,212
260,167
261,170
262,167
263,161
264,164
265,167
266,172
267,167
268,167
269,231
270,164
271,166
272,194
273,199
274,162
275,223
276,193
277,188
278,189
279,165
280,175
281,161
282,157
283,232
284,168
285,194
286,192
287,235
288,215
289,177
290,235
291,173
292,220
293,175
294,170
295,176
296,167
297,220
298,187
299,199
300,212
301,215
302,175
303,165
304,167
305,159
306,168
307,156
308,233
309,195
310,181
311,179
312,185
313,166
314,164
315,188
316,160
317,168
318,166
319,215
320,178
321,167
322,191
323,161
324,220
325,233
326,157
327,161
328,226
329,234
330,160
331,159
332,166
333,157
334,207
335,185
336,160
337,192
338,166
339,196
340,164
341,180
342,177
343,221
344,173
345,228
346,159
347,238
348,214
349,206
350,175
351,154
352,234
353,245
354,162
355,161
356,238
357,166
358,227
359,174
360,234
361,173
362,153
363,162
364,235
365,237
366,178
367,230
368,232
369,161
370,164
371,161
372,234
373,168
374,159
375,228
376,172
377,175
378,195
379,154
380,235
381,235
382,190
383,244
384,228
385,154
386,182
387,172
388,236
389,161
390,170
391,228
392,165
393,174
394,161
395,240
396,181
397,175
398,234
399,235
400,235
401,163
402,238
403,163
404,187
405,221
406,233
407,234
408,241
409,218
410,244
411,233
412,220
413,178
414,207
415,166
416,201
417,201
418,236
419,242
420,245
421,173
422,222
423,176
424,213
425,227
426,245
427,212
428,243
429,178
430,165
431,165
432,197
433,216
434,185
435,170
436,160
437,153
438,174
439,173
440,198
441,185
442,214
443,164
444,156
445,190
446,177
447,195
448,167
449,169
450,167
451,222
452,168
453,161
454,182
455,207
456,168
457,184
458,196
459,215
460,214
461,168
462,191
463,247
464,235
465,178
466,169
467,166
468,165
469,188
470,186
471,161
472,165
473,165
474,199
475,173
476,207
477,231
478,202
479,157
480,160
481,170
482,172
483,169
484,162
485,225
486,182
487,190
488,244
489,236
490,168
491,199
492,240
493,189
494,186
495,194
496,174
497,240
498,174
499,175
500,159
501,167
502,156
503,219
504,159
505,154
506,190
507,171
508,167
509,210
510,234
511,181
512,244
513,190
514,234
515,237
516,161
517,229
518,188
519,178
520,234
521,213
522,225
523,152
524,200
525,205
526,238
527,201
528,202
529,247
530,226
531,207
532,238
533,157
534,165
535,247
536,150
537,186
538,179
539,226
540,160
541,235
542,195
543,208
544,220
545,178
546,207
547,222
548,222
549,179
550,249
551,173
552,171
553,230
554,174
555,172
556,159
557,185
558,238
559,231
560,180
561,163
562,178
563,174
564,165
565,236
566,238
567,179
568,240
569,230
570,249
571,179
572,180
573,234
574,180
575,177
576,167
577,176
578,250
579,188
580,242
581,169
582,182
583,229
584,221
585,175
586,229
587,162
588,176
589,175
590,180
591,149
592,230
593,158
594,211
595,224
596,182
597,164
598,234
599,159
600,182
601,168
602,160
603,165
604,242
605,160
606,163
607,171
608,159
609,180
610,175
611,183
612,174
613,156
614,184
615,157
616,159
617,166
618,177
619,158
620,160
621,171
622,165
623,164
624,165
625,226
626,220
627,162
628,226
629,160
630,169
631,168
632,235
633,178
634,188
635,160
636,179
637,165
638,234
639,164
640,241
641,162
642,164
643,172
644,180
645,239
646,234
647,162
648,170
649,174
650,173
651,168
652,179
653,179
654,171
655,161
656,185
657,170
658,230
659,183
660,217
661,219
662,208
663,151
664,160
665,244
666,173
667,232
668,172
669,234
670,164
671,183
672,164
673,254
674,181
675,241
676,162
677,249
678,184
679,167
680,163
681,168
682,175
683,175
684,242
685,199
686,236
687,233
688,232
689,156
690,229
691,169
692,234
693,156
694,174
695,168
696,166
697,165
698,176
699,175
700,164
701,164
702,216
703,174
704,164
705,204
706,191
707,173
708,171
709,174
710,172
711,175
712,174
713,206
714,165
715,239
716,159
717,181
718,162
719,166
720,167
721,174
722,209
723,232
724,181
725,178
726,162
727,171
728,171
729,179
730,173
731,168
732,174
733,163
734,164
735,175
736,204
737,191
738,174
739,222
740,174
741,167
742,224
743,188
744,212
745,162
746,166
747,164
748,212
749,205
750,162
751,170
752,180
753,186
754,182
755,198
756,164
757,190
758,178
759,170
760,170
761,164
762,165
763,170
764,239
765,177
766,169
767,178
768,157
769,172
770,169
771,175
772,170
773,228
774,178
775,166
776,217
777,162
778,170
779,208
780,195
781,164
782,200
783,234
784,219
785,186
786,155
787,182
788,165
789,162
790,170
791,157
792,196
793,159
794,202
795,171
796,166
797,160
798,166
799,237
800,231
801,165
802,153
803,242
804,174
805,164
806,159
807,217
808,236
809,174
810,163
811,193
812,162
813,207
814,172
815,207
816,172
817,155
818,165
819,219
820,165
821,163
822,162
823,169
824,234
825,159
826,221
827,202
828,248
829,179
830,167
831,226
832,187
833,158
834,188
835,170
836,200
837,237
838,210
839,162
840,167
841,199
842,175
843,167
844,198
845,168
846,167
847,173
848,197
849,211
850,213
851,215
852,163
853,253
854,168
855,161
856,169
857,154
858,179
859,203
860,219
861,240
862,187
863,173
864,190
865,163
866,239
867,229
868,215
869,227
870,179
871,163
872,163
873,235
874,166
875,168
876,165
877,168
878,190
879,190
880,232
881,190
882,171
883,157
884,165
885,157
886,238
887,175
888,184
889,206
890,178
891,167
892,215
893,197
894,248
895,151
896,193
897,236
898,163
899,176
900,173
901,187
902,173
903,163
904,167
905,179
906,212
907,208
908,185
909,160
910,154
911,165
912,160
913,208
914,166
915,170
916,174
917,168
918,166
919,160
920,186
921,164
922,178
923,181
924,162
925,168
926,179
927,180
928,182
929,196
930,177
931,202
932,229
933,177
934,173
935,177
936,161
937,176
938,165
939,190
940,196
941,239
942,159
943,193
944,169
945,201
946,217
947,174
948,181
949,223
950,197
951,193
952,167
953,185
954,176
955,163
956,224
957,163
958,173
959,185
960,240
961,227
962,178
963,162
964,216
965,200
966,176
967,212
968,159
969,239
970,202
971,231
972,190
973,196
974,201
975,233
976,173
977,180
978,165
979,226
980,176
981,209
982,185
983,169
984,242
985,223
986,217
987,171
988,190
989,217
990,186
991,186
992,199
993,213
994,165
995,168
996,156
997,163
998,204
999,165
1000,165
1001,205
1002,198
1003,206
1004,246
1005,167
1006,171
1007,227
1008,175
1009,180
1010,171
1011,166
1012,178
1013,208
1014,200
1015,206
1016,176
1017,205
1018,177
1019,213
1020,171
1021,225
1022,200
1023,218
1024,242
1025,217
1026,210
1027,203
1028,216
1029,178
1030,202
1031,186
1032,170
1033,166
1034,224
1035,209
1036,184
1037,164
1038,163
1039,196
1040,159
1041,155
1042,216
1043,220
1044,192
1045,165
1046,221
1047,163
1048,166
1049,156
1050,169
1051,163
1052,164
1053,159
1054,199
1055,198
1056,162
1057,202
1058,158
1059,174
1060,163
1061,163
1062,178
1063,184
1064,177
1065,166
1066,177
1067,211
1068,196
1069,206
1070,171
1071,169
1072,166
1073,182
1074,182
1075,165
1076,162
1077,162
1078,186
1079,161
1080,166
1081,169
1082,158
1083,171
1084,179
1085,155
1086,163
1087,180
1088,161
1089,239
1090,165
1091,208
1092,228
1093,158
1094,155
1095,174
1096,172
1097,151
1098,155
1099,180
1100,184
1101,215
1102,169
1103,184
1104,228
1105,186
1106,239
1107,166
1108,175
1109,179
1110,168
1111,174
1112,188
1113,164
1114,163
1115,171
1116,168
1117,154
1118,179
1119,157
1120,167
1121,161
1122,162
1123,179
1124,184
1125,186
1126,159
1127,168
1128,186
1129,183
1130,188
1131,164
1132,164
1133,182
1134,208
1135,186
1136,164
1137,178
1138,171
1139,173
1140,171
1141,153
1142,171
1143,245
1144,223
1145,250
1146,175
1147,156
1148,169
1149,232
1150,228
1151,183
1152,157
1153,161
1154,230
1155,175
1156,167
1157,158
1158,165
1159,157
1160,229
1161,231
1162,174
1163,162
1164,168
1165,195
1166,224
1167,164
1168,206
1169,208
1170,156
1171,228
1172,153
1173,243
1174,171
1175,234
1176,158
1177,230
1178,219
1179,204
1180,240
1181,211
1182,231
1183,237
1184,188
1185,167
1186,160
1187,231
1188,214
1189,178
1190,176
1191,218
1192,193
1193,194
1194,165
1195,187
1196,160
1197,198
1198,187
1199,168
1200,169
1201,167
1202,237
1203,238
1204,233
1205,233
1206,218
1207,238
1208,162
1209,198
1210,238
1211,179
1212,167
1213,187
1214,200
1215,231
1216,227
1217,177
1218,217
1219,166
1220,193
1221,220
1222,216
1223,166
1224,176
1225,177
1226,162
1227,193
1228,240
1229,171
1230,172
1231,228
1232,176
1233,161
1234,156
1235,155
1236,176
1237,175
1238,171
1239,162
1240,230
1241,241
1242,172
1243,181
1244,223
1245,212
1246,185
1247,184
1248,170
1249,219
1250,193
1251,211
1252,225
1253,228
1254,220
1255,161
1256,239
1257,205
1258,167
1259,187
1260,231
1261,187
1262,167
1263,168
1264,200
1265,208
1266,207
1267,165
1268,196
1269,168
1270,163
1271,230
1272,213
1273,225
1274,156
1275,248
1276,250
1277,166
1278,167
1279,170
1280,218
1281,176
1282,231
1283,177
1284,235
1285,160
1286,181
1287,235
1288,182
1289,211
1290,205
1291,164
1292,194
1293,225
1294,193
1295,201
1296,238
1297,244
1298,164
1299,207
1300,159
1301,215
1302,170
1303,234
1304,217
1305,241
1306,157
1307,206
1308,226
1309,174
1310,185
1311,216
1312,213
1313,215
1314,163
1315,210
1316,174
1317,161
1318,184
1319,173
1320,232
1321,234
1322,216
1323,164
1324,182
1325,191
1326,168
1327,183
1328,210
1329,156
1330,171
1331,183
1332,220
1333,218
1334,218
1335,183
1336,172
1337,216
1338,171
1339,229
1340,167
1341,209
1342,176
1343,166
1344,208
1345,161
1346,190
1347,180
1348,171
1349,171
1350,161
1351,207
1352,185
1353,194
1354,169
1355,198
1356,173
1357,209
1358,213
1359,228
1360,203
1361,162
1362,176
1363,169
1364,221
1365,172
1366,180
1367,166
1368,227
1369,221
1370,158
1371,212
1372,196
1373,187
1374,207
1375,204
1376,174
1377,211
1378,188
1379,163
1380,156
1381,162
1382,215
1383,187
1384,165
1385,193
1386,158
1387,210
1388,234
1389,220
1390,205
1391,217
1392,202
1393,210
1394,180
1395,226
1396,226
1397,215
1398,210
1399,173
1400,220
1401,199
1402,234
1403,220
1404,228
1405,201
1406,223
1407,237
1408,243
1409,162
1410,228
1411,188
1412,228
1413,170
1414,178
1415,215
1416,204
1417,163
1418,227
1419,228
1420,165
1421,246
1422,170
1423,229
1424,229
1425,213
1426,207
1427,237
1428,166
1429,162
1430,222
1431,189
1432,154
1433,169
1434,175
1435,179
1436,157
1437,166
1438,192
1439,168
1440,176
1441,207
1442,162
1443,177
1444,188
1445,196
1446,193
1447,206
1448,175
1449,231
1450,176
1451,190
1452,234
1453,231
1454,165
1455,214
1456,200
1457,166
1458,216
1459,171
1460,194
1461,235
1462,223
1463,197
1464,183
1465,188
1466,165
1467,214
1468,226
1469,231
1470,179
1471,192
1472,172
1473,166
1474,187
1475,215
1476,189
1477,171
1478,195
1479,236
1480,200
1481,222
1482,195
1483,184
1484,175
1485,172
1486,242
1487,169
1488,233
1489,207
1490,161
1491,199
1492,171
1493,235
1494,214
1495,165
1496,223
1497,193
1498,195
1499,191
1500,173
1501,225
1502,199
1503,202
1504,172
1505,166
1506,201
1507,233
1508,228
1509,165
1510,161
1511,185
1512,174
1513,230
1514,173
1515,184
1516,193
1517,170
1518,221
1519,167
1520,204
1521,192
1522,181
1523,181
1524,243
1525,159
1526,179
1527,223
1528,166
1529,233
1530,172
1531,168
1532,172
1533,238
1534,171
1535,196
1536,246
1537,221
1538,164
1539,230
1540,226
1541,207
1542,164
1543,205
1544,200
1545,234
1546,158
1547,201
1548,162
1549,230
1550,201
1551,173
1552,237
1553,161
1554,175
1555,169
1556,245
1557,151
1558,201
1559,185
1560,194
1561,202
1562,183
1563,250
1564,187
1565,176
1566,193
1567,211
1568,197
1569,167
1570,207
1571,172
1572,194
1573,170
1574,216
1575,230
1576,182
1577,172
1578,174
1579,184
1580,192
1581,221
1582,181
1583,191
1584,165
1585,172
1586,164
1587,213
1588,168
1589,177
1590,219
1591,165
1592,246
1593,217
1594,184
1595,167
1596,165
1597,151
1598,209
1599,208
1600,182
1601,167
1602,172
1603,177
1604,154
1605,188
1606,155
1607,180
1608,233
1609,173
1610,244
1611,166
1612,198
1613,205
1614,164
1615,246
1616,201
1617,178
1618,151
1619,235
1620,237
1621,232
1622,242
1623,241
1624,164
1625,217
1626,217
1627,237
1628,179
1629,228
1630,185
1631,170
1632,182
1633,181
1634,159
1635,167
1636,158
1637,174
1638,206
1639,231
1640,245
1641,167
1642,196
1643,174
1644,171
1645,206
1646,210
1647,197
1648,158
1649,165
1650,204
1651,187
1652,227
1653,231
1654,171
1655,235
1656,217
1657,199
1658,225
1659,168
1660,187
1661,160
1662,188
1663,196
1664,191
1665,195
1666,170
1667,230
1668,192
1669,180
1670,235
1671,177
1672,157
1673,166
1674,172
1675,175
1676,224
1677,209
1678,192
1679,166
1680,245
1681,207
1682,208
1683,216
1684,215
1685,175
1686,159
1687,169
1688,167
1689,196
1690,167
1691,198
1692,168
1693,208
1694,221
1695,165
1696,209
1697,185
1698,177
1699,233
1700,216
1701,208
1702,157
1703,179
1704,186
1705,212
1706,231
1707,167
1708,161
1709,171
1710,189
1711,170
1712,171
1713,173
1714,175
1715,211
1716,199
1717,193
1718,210
1719,192
1720,242
1721,240
1722,185
1723,199
1724,238
1725,246
1726,174
1727,218
1728,169
1729,181
1730,241
1731,225
1732,173
1733,191
1734,227
1735,241
1736,194
1737,170
1738,200
1739,246
1740,201
1741,188
1742,166
1743,163
1744,177
1745,172
1746,224
1747,197
1748,181
1749,216
1750,167
1751,199
1752,180
1753,231
1754,250
1755,199
1756,183
1757,224
1758,167
1759,187
1760,197
1761,247
1762,179
1763,170
1764,172
1765,199
1766,208
1767,173
1768,217
1769,209
1770,185
1771,231
1772,188
1773,231
1774,242
1775,212
1776,172
1777,155
1778,206
1779,179
1780,228
1781,194
1782,253
1783,192
1784,224
1785,178
1786,184
1787,232
1788,177
1789,191
1790,245
1791,190
1792,179
1793,191
1794,198
1795,178
1796,189
1797,200
1798,240
1799,204
1800,155
1801,200
1802,237
1803,186
1804,187
1805,183
1806,169
1807,184
1808,220
1809,236
1810,244
1811,230
1812,167
1813,167
1814,183
1815,223
1816,182
1817,233
1818,187
1819,190
1820,236
1821,242
1822,159
1823,244
1824,235
1825,180
1826,166
1827,181
1828,167
1829,175
1830,231
1831,172
1832,168
1833,240
1834,245
1835,166
1836,157
1837,243
1838,243
1839,185
1840,196
1841,179
1842,163
1843,244
1844,187
1845,244
1846,219
1847,159
1848,237
1849,245
1850,185
1851,206
1852,158
1853,167
1854,220
1855,232
1856,234
1857,170
1858,159
1859,169
1860,182
1861,239
1862,176
1863,201
1864,210
1865,179
1866,170
1867,185
1868,171
1869,176
1870,172
1871,180
1872,221
1873,239
1874,222
1875,180
1876,185
1877,178
1878,183
1879,179
1880,177
1881,163
1882,187
1883,221
1884,183
1885,230
1886,189
1887,160
1888,227
1889,220
1890,219
1891,188
1892,199
1893,212
1894,198
1895,192
1896,214
1897,207
1898,190
1899,211
1900,203
1901,209
1902,155
1903,230
1904,233
1905,161
1906,243
1907,223
1908,183
1909,227
1910,186
1911,166
1912,166
1913,177
1914,172
1915,245
1916,178
1917,177
1918,162
1919,252
1920,230
1921,160
1922,188
1923,160
1924,155
1925,241
1926,201
1927,162
1928,158
1929,177
1930,225
1931,163
