,5%,50%,95%
0.25 nm,0.2394578313253012,0.26506024096385544,0.2936746987951807
0.75 nm,0.43373493975903615,0.46536144578313254,0.49698795180722893
1.25 nm,0.17620481927710843,0.19728915662650603,0.2213855421686747
1.75 nm,0.030120481927710843,0.04216867469879518,0.05421686746987952
2.25 nm,0.006024096385542169,0.01355421686746988,0.022590361445783132
2.75 nm,0.0,0.004518072289156626,0.009036144578313253
3.25 nm,0.0,0.0015060240963855422,0.006024096385542169
3.75 nm,0.0,0.0015060240963855422,0.006024096385542169
4.25 nm,0.0015060240963855422,0.004518072289156626,0.010542168674698794
4.75 nm,0.0,0.0015060240963855422,0.0030120481927710845
