,5%,50%,95%
0.25 nm,0.012121212121212121,0.020202020202020204,0.03232323232323232
0.75 nm,0.044444444444444446,0.05858585858585859,0.07676767676767676
1.25 nm,0.05858585858585859,0.07474747474747474,0.09494949494949495
1.75 nm,0.06666666666666667,0.08686868686868687,0.10909090909090909
2.25 nm,0.08888888888888889,0.11313131313131314,0.13737373737373737
2.75 nm,0.12727272727272726,0.15555555555555556,0.18181818181818182
3.25 nm,0.21212121212121213,0.24242424242424243,0.27474747474747474
3.75 nm,0.17373737373737375,0.2,0.23030303030303031
4.25 nm,0.024242424242424242,0.03838383838383838,0.05454545454545454
4.75 nm,0.0,0.00404040404040404,0.00808080808080808
