,5%,50%,95%
0.25 nm,0.07496251874062969,0.0944527736131934,0.11544227886056972
0.75 nm,0.21739130434782608,0.24587706146926536,0.27436281859070466
1.25 nm,0.1664167916041979,0.1904047976011994,0.21739130434782608
1.75 nm,0.08845577211394302,0.10944527736131934,0.13043478260869565
2.25 nm,0.05247376311844078,0.06896551724137931,0.08695652173913043
2.75 nm,0.05997001499250375,0.07646176911544228,0.0944527736131934
3.25 nm,0.08995502248875563,0.10644677661169415,0.12743628185907047
3.75 nm,0.07496251874062969,0.09145427286356822,0.10944527736131934
4.25 nm,0.0074962518740629685,0.013493253373313344,0.0239880059970015
4.75 nm,0.0,0.0014992503748125937,0.004497751124437781
