Rg,Ree
1.12371,2.822
1.18206,3.132
1.13082,2.861
1.14846,3.031
1.13741,2.881
1.12243,3.306
1.07214,3.216
1.03955,3.209
1.04055,1.998
1.00282,3.077
1.04835,2.075
1.00224,3.07
1.14789,3.002
1.12016,2.985
1.07472,2.193
1.07266,2.001
1.09259,2.253
1.09484,2.197
1.19229,3.062
0.934317,1.898
1.20591,2.985
1.15257,3.548
1.17583,3.604
1.49559,3.326
1.49356,3.362
1.4737,3.232
1.44602,3.26
1.02811,1.769
1.52736,3.391
1.43107,3.194
1.43276,3.207
1.37933,3.065
1.38195,3.343
1.27042,3.387
1.01937,3.061
1.04466,3.189
1.40534,4.189
1.3606,3.965
1.24546,3.328
1.27256,3.314
1.2696,2.906
1.26605,2.754
1.22762,3.35
1.24808,3.311
1.24817,3.302
1.26597,3.161
1.40877,3.652
1.39072,3.413
1.2609,3.554
1.32623,3.898
1.3247,3.776
1.27317,3.768
0.856518,0.917
1.28708,3.648
0.885408,0.894
1.26497,3.855
1.23072,3.581
1.37169,3.678
1.41973,3.914
1.38233,3.955
0.87302,0.975
1.32916,3.837
1.36016,3.828
0.886244,0.98
0.905618,1.054
0.871311,0.899
0.883365,1.093
0.879529,0.989
1.05883,2.331
1.31032,3.762
1.23197,3.399
1.28255,3.469
1.0792,2.166
1.10366,2.122
1.25274,3.513
1.30946,3.298
1.33115,3.197
1.4144,3.073
1.33069,3.342
1.35514,3.025
1.28826,3.167
0.875533,0.905
0.85313,1.003
0.8957,0.986
1.06705,2.099
1.0849,2.187
1.09909,2.346
1.14287,2.621
1.22612,2.985
0.874772,0.9
1.20048,2.885
1.54265,3.701
1.15798,2.826
1.06814,2.427
1.09395,2.393
1.10248,2.639
0.98286,1.878
1.0586,2.734
0.947334,1.449
0.932266,1.568
0.941812,1.642
0.933613,1.651
0.9804,1.598
0.960161,1.634
0.831964,1.289
0.826167,1.31
1.4437,3.695
0.817044,1.466
0.838189,1.437
0.840825,1.373
0.848567,1.313
0.840481,1.381
1.58813,3.696
1.57472,3.585
1.50397,3.568
1.32712,3.565
0.931987,2.011
1.35073,3.689
1.37898,3.385
1.33886,3.195
1.35453,3.85
1.35774,3.717
1.42197,3.79
1.33217,3.847
1.29116,4.037
1.35331,3.382
1.33623,3.321
1.23484,3.991
0.967355,1.746
1.29277,3.03
1.3003,3.047
1.48238,4.069
1.48259,4.098
0.969813,1.909
1.23877,2.799
1.41926,3.015
1.46112,3.284
1.24215,2.792
1.42006,4.039
1.40991,4.121
1.47316,4.135
1.48108,3.946
0.827467,1.293
0.839597,1.312
1.04192,1.708
0.834672,1.209
1.04532,1.639
1.04952,1.551
1.04167,2.053
1.11033,2.165
0.812326,1.173
0.931323,1.847
0.905422,1.817
0.894933,1.703
0.864831,1.55
0.888275,1.525
0.799967,1.325
0.81043,1.357
0.832556,1.349
1.50065,4.037
1.47452,3.935
1.42081,4.164
1.4531,4.565
1.42281,4.374
1.47171,4.417
1.35495,3.818
1.2514,3.533
1.28313,3.648
1.4706,4.458
1.40676,3.356
0.803824,1.46
1.4572,3.116
1.33023,3.725
1.32981,3.568
1.30574,3.803
0.829254,1.417
0.813983,1.381
1.17788,3.879
1.13961,3.624
1.11256,3.481
1.16493,3.843
1.03716,1.984
1.014,1.745
0.905089,1.815
0.904754,1.776
1.49764,3.523
1.52047,3.296
1.50166,3.416
1.50215,3.637
1.35908,4.332
1.32104,4.438
1.37134,4.417
1.34536,4.543
1.3226,3.327
1.41801,3.387
1.4725,3.257
1.5177,3.323
1.57072,3.467
1.35814,3.716
1.40713,3.67
1.40016,3.565
1.46133,3.542
1.46094,3.27
1.48005,3.371
1.52055,3.07
1.51521,2.98
1.52219,3.159
1.13884,3.004
1.16943,3.192
1.21289,3.294
1.47504,3.846
1.41186,4.036
1.39466,3.666
1.08528,2.624
1.11829,2.713
1.11987,2.881
1.13858,2.969
1.18974,3.186
1.14456,2.915
1.24968,3.576
1.29814,3.56
1.27572,3.527
1.42839,3.396
1.19996,2.675
1.2012,2.791
1.37785,3.063
1.17536,2.586
1.16214,2.558
1.17876,3.456
1.17748,3.304
1.29605,3.431
1.13225,3.26
1.41538,3.587
1.37601,3.64
1.36887,3.393
1.0408,1.687
1.37883,3.322
1.16795,3.242
1.18334,3.376
1.02669,1.603
1.04015,1.635
1.30121,3.752
1.25519,3.506
1.20969,3.148
1.16447,3.198
1.46134,3.374
1.45505,3.578
1.36688,3.187
1.33374,3.19
1.3986,2.925
1.34502,3.593
1.31042,3.432
1.42731,2.661
1.40998,2.756
1.39607,3.089
0.968437,1.149
0.966502,1.073
0.976309,1.184
0.96156,1.126
1.29391,3.783
1.39373,3.228
1.4513,2.911
1.43186,2.887
1.45339,2.777
0.881254,1.935
1.45819,3.224
0.882137,1.974
1.52315,3.461
1.52669,3.7
1.56582,3.716
1.37467,3.858
0.905002,2.112
0.880231,2.022
0.913266,2.016
0.895377,1.997
0.911826,1.818
0.943097,1.648
1.34852,3.361
1.35015,3.263
1.14732,3.529
1.36193,3.118
1.49607,3.38
1.4705,3.346
1.5337,3.51
0.863596,1.645
1.04985,2.101
1.07663,3.234
1.06373,3.192
1.08109,3.28
0.897061,2.009
0.877358,1.972
1.10388,3.205
1.10627,2.961
1.0694,2.903
0.838439,1.73
1.27147,3.625
1.26854,3.8
1.31051,4.021
0.850851,1.985
1.33114,3.586
1.4262,3.295
1.3758,3.469
1.3802,3.533
1.38748,3.754
1.06321,2.684
1.12933,3.026
0.92705,0.595
0.900288,0.643
0.916601,0.671
1.0819,2.614
1.07693,2.947
1.45841,3.957
1.274,4.022
1.28421,4.159
1.43275,4.02
1.33284,4.086
1.42132,3.823
1.32988,4.108
1.27274,4.08
1.30091,4.173
1.34882,3.654
0.933608,0.7
0.911063,0.741
1.26295,3.297
1.29433,4.087
0.914546,0.495
0.938287,0.461
0.845496,1.74
0.930218,0.477
1.28109,3.806
1.29949,3.751
0.933441,0.477
0.876524,1.472
1.33966,3.433
1.16148,3.425
1.24552,3.667
0.920171,0.537
0.905155,0.541
0.895289,0.543
0.908943,0.525
1.3081,3.336
1.27246,3.445
1.24285,3.482
1.25755,3.667
1.21733,3.683
1.17607,3.462
0.895625,1.55
0.869207,1.609
0.873207,1.626
0.89776,0.532
1.17986,3.179
0.850335,2.222
