Rg,Ree
0.818222,2.186
1.18539,3.317
1.19262,3.309
0.952546,2.001
0.853484,2.348
0.952377,2.027
0.965226,1.939
0.840595,2.304
0.9501,1.993
0.871946,2.369
0.899759,2.285
0.85079,2.251
0.834201,2.114
1.18034,2.993
1.20739,3.007
1.23438,3.097
1.18616,2.977
0.814143,1.75
0.834642,1.82
1.00857,2.459
0.823548,1.662
0.798533,1.636
0.818938,1.729
0.830012,1.965
0.828029,1.97
0.97968,1.79
0.937477,1.605
0.937131,1.66
0.95641,1.817
0.937408,1.802
0.961065,1.808
1.03196,2.736
0.967406,1.674
0.976039,1.655
0.979709,1.634
0.958305,1.795
0.799391,1.925
0.796941,1.981
0.799749,2.008
0.800866,1.975
1.11219,2.949
0.81314,1.941
0.816079,1.944
0.796788,1.939
1.02424,2.059
1.02457,1.958
1.03209,2.086
0.81348,1.998
0.808436,1.932
0.989301,2.02
0.992649,1.97
0.799908,2.005
0.797771,1.936
0.795686,1.912
0.78263,1.916
0.993356,2.273
1.071,2.868
1.02464,2.498
1.06021,2.434
0.794282,1.855
1.19209,3.574
0.793472,1.825
1.20596,3.652
0.808291,1.955
0.817329,2.015
0.834259,2.099
1.23123,3.403
1.22373,3.465
1.21756,3.213
0.896354,2.405
1.21873,3.288
1.21061,3.298
0.843177,2.323
0.837756,2.403
0.865074,2.463
0.833226,2.21
0.831649,2.332
0.836436,2.369
0.84528,2.421
1.0291,2.48
1.05589,2.408
1.05572,2.59
1.02181,2.539
0.826018,2.287
1.15013,3.557
1.13688,3.468
1.13897,3.529
0.982545,2.434
0.962344,2.344
0.96944,2.437
0.814502,2.041
0.832595,2.138
1.00955,2.662
0.989953,2.686
0.848262,1.44
0.855833,1.5
1.16064,3.433
1.18783,3.501
1.16354,3.41
1.01713,2.061
1.05892,2.09
0.842137,1.412
0.979934,2.598
1.00832,2.869
1.00234,2.981
1.02752,2.978
0.995844,2.654
1.02672,2.765
0.866257,1.309
0.8633,1.296
0.850587,1.19
1.07101,3.046
1.05161,2.825
0.843211,1.411
1.07029,2.903
1.01667,2.758
1.02209,2.778
0.831002,2.17
0.83778,2.226
0.837039,2.162
0.835932,2.09
0.837967,2.038
0.833122,2.013
0.844228,2.174
0.856867,1.475
0.838926,2.185
1.00955,2.635
1.06384,3.007
0.821253,2.102
0.828301,2.103
1.06385,3.012
0.978981,2.625
0.965037,2.604
1.01022,2.71
1.01262,2.859
0.849149,2.618
1.03065,2.765
1.01117,2.782
1.00303,2.73
0.822877,1.781
0.810483,1.772
0.808081,1.863
1.5988,3.653
1.61579,3.677
1.598,3.601
1.63217,3.504
0.834927,1.981
0.82384,1.954
0.832623,1.887
0.871608,2.728
0.877283,2.754
0.86671,2.678
0.837882,2.025
0.81957,1.9
0.891855,2.832
0.814915,1.842
0.820422,1.819
0.820759,1.697
0.849461,1.736
0.84242,1.917
0.832858,1.857
0.857601,1.972
0.853999,2.063
1.0393,2.699
1.02696,2.667
1.12965,3.334
1.12513,3.298
1.13422,3.196
1.10477,3.433
1.08409,3.437
1.10968,3.357
0.820256,2.037
0.797116,1.952
0.791398,1.799
1.10702,3.278
1.1669,3.04
1.14339,2.771
1.05475,2.47
1.01311,2.277
1.02027,2.296
1.04472,2.234
1.01327,2.108
0.802802,1.833
0.789371,1.764
0.790723,1.78
0.983117,1.759
0.978716,1.782
1.04941,3.335
1.05191,3.173
1.06647,3.365
0.768173,1.595
0.767975,1.716
1.39531,3.71
0.787116,1.811
0.79537,1.826
0.782157,1.858
0.787731,1.878
0.78218,1.715
0.936941,3.01
0.938699,2.958
0.933269,3.012
0.914098,2.916
1.25448,4.092
1.24641,4.136
1.22229,4.206
1.22457,4.189
1.23258,4.223
1.24061,4.161
1.0924,3.462
1.2303,3.651
1.20719,3.463
1.00938,2.873
0.981891,2.694
1.00924,2.886
0.973712,2.678
0.961232,2.686
0.968259,2.619
0.943645,2.532
0.983049,2.513
0.948275,2.352
1.14543,3.616
0.964702,2.411
0.977902,2.483
0.97067,2.44
0.961972,2.583
1.19422,3.705
1.28414,4.094
1.31056,4.02
1.32714,3.836
1.35312,3.854
1.29292,3.879
0.779031,2.05
0.800968,2.127
1.2619,3.693
0.939363,1.812
1.25099,3.506
0.789793,2.081
0.78439,2.025
0.774734,1.984
0.77977,1.911
0.808336,1.834
0.804994,1.804
0.778014,1.744
0.814028,1.712
0.792517,1.756
0.812088,1.76
0.7931,1.613
0.785574,1.453
0.784619,1.514
0.829637,1.849
0.841797,2.037
0.815744,1.872
0.82313,1.824
0.813704,1.819
0.846177,1.967
0.797613,1.662
0.913186,1.747
0.96752,1.816
0.958545,1.916
0.939559,1.89
0.959395,2.155
1.13832,3.326
0.79511,1.64
0.794622,1.597
0.973653,2.34
0.947481,2.265
0.96354,2.311
0.957534,2.183
0.789457,1.49
0.78571,1.463
0.774507,1.53
0.905746,1.853
0.883924,1.685
0.866526,1.534
0.865,1.61
0.781945,1.525
0.947967,1.81
0.955945,1.75
0.932936,1.599
1.3739,2.936
1.20987,3.805
1.34141,2.891
1.22361,3.897
1.23138,4.005
1.23201,3.915
0.894582,1.429
0.935718,1.886
1.27223,3.587
1.22395,3.839
1.23528,3.921
0.94909,2.379
1.29405,3.831
1.29232,3.71
0.954745,2.384
0.972154,2.373
0.91182,2.241
0.932032,2.306
0.78596,1.53
0.772273,1.603
0.9409,2.245
0.945536,2.237
0.962402,2.171
0.980589,2.303
0.977416,2.154
1.04993,2.342
1.06562,2.488
1.06379,2.552
0.967648,2.138
1.33365,2.662
1.32238,2.74
0.932819,2.132
1.3469,3.993
1.39979,2.45
1.41867,2.315
1.3371,3.864
1.45835,2.097
0.794786,1.738
0.802774,1.761
0.896605,1.706
0.968929,1.983
0.934983,1.999
0.934442,2.024
0.952893,1.935
0.951794,1.918
0.95076,2.111
0.952498,1.999
0.955343,2.022
0.959193,1.978
0.980787,2.248
0.984953,2.295
0.974123,2.181
0.843821,2.249
0.830163,2.229
0.860603,2.256
0.84161,2.142
0.836433,2.161
0.859383,2.457
1.14657,3.133
1.10425,2.914
1.06246,2.696
0.865969,1.566
0.880153,2.809
0.87265,2.745
1.10479,2.744
1.09157,2.578
1.08268,2.628
1.05508,2.101
1.05972,2.034
0.874981,3.001
0.909705,3.153
0.910101,3.076
0.819266,1.771
0.850087,0.894
0.856855,0.758
0.856877,0.762
0.849118,0.749
0.852379,0.723
0.879118,0.708
0.869227,0.773
0.865117,0.735
0.861471,0.775
0.941049,3.112
0.839768,1.815
0.825764,1.792
0.909469,3.026
0.824476,1.825
0.814123,1.831
0.827121,1.705
0.936732,3.074
0.940124,2.634
0.953679,2.438
1.39663,3.653
1.37098,3.764
1.41094,3.677
1.39546,3.726
1.38991,3.697
1.44579,3.58
1.4329,3.721
1.38506,3.651
1.37713,3.657
1.36804,3.772
1.08565,3.353
1.08925,3.354
1.12788,3.555
1.14487,3.6
1.10022,3.397
1.36353,3.339
1.09389,3.384
1.41768,3.451
1.48375,3.574
1.48866,3.646
1.50509,3.464
1.4947,3.518
1.56006,3.546
1.56851,3.479
1.51069,3.579
1.53901,3.528
1.55566,3.704
1.06589,2.777
1.03127,2.376
1.00961,2.375
0.981606,2.285
1.37299,3.05
0.885637,0.529
0.901409,0.576
0.893525,0.548
0.907378,0.546
0.901629,2.701
0.917333,2.691
0.888384,0.582
0.878982,0.654
0.9266,2.684
0.947013,2.889
1.31382,3.532
0.879713,0.547
0.877707,0.509
0.906374,0.53
0.884098,0.531
0.906999,0.52
0.892359,0.538
0.907547,0.517
1.15941,3.074
1.18073,3.119
0.884393,0.529
1.1716,3.225
0.897566,0.515
1.16191,2.939
1.21402,3.145
1.20197,3.107
1.28934,3.166
1.12055,3.25
1.08828,3.059
1.18426,3.195
1.16303,3.865
1.18655,3.692
1.15508,3.655
1.15892,3.542
1.11162,3.573
1.19386,3.409
1.19042,3.386
1.17357,3.515
1.19449,2.681
1.18345,2.728
1.06615,2.971
1.09774,2.906
1.17819,3.523
1.0692,2.893
1.27361,3.462
0.835349,2.023
1.2651,3.524
0.810869,2.11
0.833123,2.187
0.827205,2.115
0.840403,2.159
1.09606,2.681
1.10543,2.79
1.05873,2.671
1.06324,2.773
1.11664,2.803
1.16486,3.032
1.19372,3.234
1.14915,3.236
1.16065,3.146
1.17003,3.348
1.17107,3.442
1.16915,3.461
1.2559,3.393
1.21002,3.54
1.18421,3.443
1.16329,3.321
1.15373,3.607
1.13654,3.313
1.13944,3.329
1.12406,3.238
1.14066,3.195
1.07474,3.165
1.10834,3.233
1.00876,2.875
1.04604,2.999
1.05189,2.926
1.11134,3.015
1.21596,3.489
1.1865,3.235
1.16036,3.165
1.13665,2.994
1.17055,3.335
1.18735,3.32
1.21049,3.509
1.18964,3.688
1.13182,3.397
1.16246,3.438
1.15776,3.366
1.16962,3.422
1.15293,3.363
1.18984,3.459
1.16195,3.252
1.0596,3.566
1.05707,3.605
1.03175,3.57
1.03896,3.62
1.04294,3.672
1.03602,3.663
1.03784,3.592
1.05535,3.639
1.04199,3.669
1.28124,3.527
1.34386,3.434
1.42016,3.022
1.34145,3.179
1.22354,3.49
1.21853,3.455
0.846133,2.715
0.829432,2.696
0.839392,2.656
0.8457,2.536
0.828003,2.468
1.35397,3.255
0.816855,2.348
0.8357,2.325
1.38889,2.924
1.41076,2.984
0.878876,1.322
0.891937,1.49
1.41772,2.997
1.36775,3.311
0.861385,1.427
0.879587,1.413
1.34429,3.481
1.35899,3.56
0.867469,2.428
1.31797,3.426
1.33241,3.445
1.19385,3.686
1.23549,3.545
1.31814,3.637
1.23388,3.84
1.25778,3.918
1.23492,3.944
1.25091,4.048
1.38897,3.552
0.918915,1.444
0.894946,1.297
0.891113,1.315
0.862579,1.115
0.86995,1.084
0.87007,1.153
0.998014,3.199
0.991168,3.034
1.47427,3.358
1.46305,3.19
0.855951,1.531
0.863,1.391
0.869027,1.444
0.86424,1.504
1.49826,3.099
1.1579,3.682
1.14747,3.639
0.870757,1.516
1.52805,3.518
0.876004,1.268
0.89019,1.301
0.868409,1.362
0.877062,1.428
0.874135,1.392
0.850708,1.439
0.893052,1.777
0.868922,1.816
0.882777,1.438
0.891761,1.39
1.0086,3.419
0.996408,3.289
0.82166,2.407
0.808907,2.523
0.87753,1.492
0.804582,2.507
0.812917,2.543
0.828851,2.701
0.825715,2.765
0.823882,2.691
1.00556,2.843
0.886399,1.592
0.873827,1.422
1.02901,2.708
1.0303,2.607
1.06348,2.76
1.05128,2.681
1.0279,2.643
1.05541,2.646
1.06968,3.152
1.07158,3.211
1.12499,3.362
1.06745,3.21
1.01082,2.407
1.00224,2.474
1.16252,3.479
1.13163,3.532
1.0023,2.391
1.03748,2.26
1.07775,2.393
1.12234,3.472
1.11864,3.533
1.06112,2.082
1.101,3.452
0.997474,1.88
0.968036,1.931
1.35116,3.555
0.992818,1.97
0.998704,1.93
0.970773,2.01
0.97209,1.77
0.977233,1.653
0.995007,1.808
1.02518,2.822
0.974381,1.776
0.989842,1.881
1.03881,2.694
0.964883,1.764
0.973596,1.772
0.900979,2.153
0.993626,1.977
0.98296,1.878
0.974251,1.756
0.955217,1.782
0.95355,1.712
0.940456,1.693
1.42838,3.306
1.43806,3.277
1.46349,3.367
1.48257,3.559
1.09639,3.053
1.05305,2.864
1.01383,2.665
1.06155,3.064
1.05626,3.192
1.47418,3.758
1.46186,3.949
1.46024,3.995
1.43538,3.97
1.42228,4.01
1.45381,3.886
0.729,1.977
1.43052,4.046
1.46291,3.752
1.37281,3.536
1.40026,3.405
1.44784,3.653
1.42358,3.644
1.38575,3.593
1.42999,3.378
1.43223,3.324
1.41332,3.302
1.46622,3.038
1.42563,3.006
1.0691,3.452
1.07542,3.485
1.07689,3.374
1.4173,3.221
1.37302,3.477
1.20566,3.76
1.17307,3.576
1.12984,3.461
1.13389,3.492
1.10525,3.387
1.14577,3.521
1.15747,3.559
0.717039,1.782
0.705081,1.683
1.11929,3.416
1.11418,3.289
1.46507,3.281
1.15738,3.398
1.04509,3.293
1.07938,2.328
1.06976,2.326
1.39075,3.117
1.02895,2.077
1.33793,3.533
1.32678,3.641
1.26979,3.546
1.23233,3.617
1.10779,3.481
1.11284,3.506
1.0154,2.211
0.980259,2.103
1.20086,3.492
1.24753,3.754
1.22323,3.518
1.21778,3.504
1.24364,3.474
1.24035,3.533
0.943238,2.062
1.23289,3.46
1.26094,3.521
1.27922,3.622
1.25976,3.633
1.2545,3.225
1.24856,3.117
0.838556,2.051
1.23229,3.371
1.20563,3.336
0.98678,2.135
1.01558,2.237
1.02871,2.314
1.01975,2.298
0.979172,2.169
0.992853,2.081
0.986903,2.141
1.00985,2.127
1.00148,2.068
0.964891,1.931
1.03334,2.174
1.00099,2.367
1.00325,2.477
1.00858,2.275
0.997925,2.267
1.18471,3.389
1.22154,3.519
1.26577,3.409
1.20357,3.526
1.20764,3.625
1.20857,3.561
1.39219,3.337
1.33475,3.375
1.35162,3.316
1.36069,3.494
1.31772,3.484
1.266,3.45
1.2343,3.151
1.20542,3.701
1.23123,3.515
0.915886,2.031
0.922121,2.16
1.17018,3.608
1.23972,3.459
1.28391,3.068
1.19377,3.657
1.22629,3.617
1.21851,3.595
1.24515,3.641
1.25285,3.632
