Rg,Ree
1.04769,2.024
1.0428,2.048
1.03733,2.042
1.04974,2.006
1.04723,2.062
1.16658,3.224
1.56908,3.447
1.03135,2.36
1.04334,2.229
1.05719,2.289
1.0605,2.314
1.03631,2.195
1.0378,2.258
1.04039,2.052
1.02915,1.984
1.05617,2.347
1.03962,2.47
1.00713,2.3
0.998977,2.407
0.972396,2.229
0.992306,2.452
1.23442,3.27
1.24366,3.171
1.24742,3.31
1.22219,3.267
1.25079,3.22
1.27928,3.128
1.08871,2.665
1.3198,2.913
1.32311,2.948
0.909138,1.466
0.927901,1.357
0.911329,1.153
1.12913,2.765
1.29389,3.214
1.24178,3.415
0.909175,1.242
0.898115,1.199
1.25613,3.629
1.27605,3.51
1.14087,2.721
1.12335,2.765
1.16315,2.685
1.15719,2.669
1.15494,2.68
1.10197,2.898
0.962249,2.566
0.985187,2.58
1.07009,2.779
1.29039,3.743
1.22499,3.761
1.07273,2.779
1.10183,2.87
1.07973,2.628
1.07163,2.76
1.1045,2.791
1.05824,2.768
1.06388,2.849
1.16566,2.813
1.16568,2.869
1.16333,2.91
1.17766,3.116
1.17305,3.159
1.082,2.479
1.13358,2.953
1.14398,2.852
1.11394,2.756
1.28948,3.639
1.26162,3.567
1.15742,2.819
1.26705,3.796
1.23854,3.698
1.27666,3.715
1.25463,3.706
1.62667,3.417
1.24765,3.663
1.60118,3.648
1.61131,3.85
1.14858,3.116
1.13427,2.977
1.16516,3.089
1.10982,2.861
1.03595,1.871
1.14559,2.969
1.58496,3.457
1.05541,1.977
1.563,3.504
1.58142,3.498
1.59327,3.498
1.56996,3.71
1.59097,3.429
1.58386,3.429
1.5964,3.653
1.3641,3.965
1.40627,3.748
1.40787,3.79
1.44658,3.653
1.45939,3.775
1.41688,3.647
1.58993,3.767
1.61588,3.43
1.63173,3.594
1.62281,3.552
1.57684,3.59
1.11793,3.01
1.56146,3.538
1.56604,3.406
1.58337,3.548
1.59756,3.607
1.6378,3.411
1.64875,3.415
1.63943,3.408
1.64666,3.477
1.63348,3.661
0.985513,1.959
1.5867,3.561
1.59325,3.714
1.63348,3.659
1.59043,3.713
1.60027,3.559
1.57253,3.785
1.57458,3.77
1.55926,3.649
1.55863,3.616
1.52139,3.758
1.54685,3.8
1.12543,3.09
0.980461,1.785
0.988518,1.803
1.58754,3.786
1.56814,3.632
1.59674,3.689
1.60462,3.962
1.54639,3.86
1.58719,4.092
1.61771,3.794
1.58266,3.774
1.5642,3.87
0.946507,1.756
0.958961,1.991
0.941714,1.916
1.50286,3.9
1.58537,3.716
0.957606,2.033
1.56463,3.548
1.60638,3.423
1.60189,3.478
1.59077,3.555
1.52966,3.731
1.51982,3.773
1.53743,3.857
0.861419,2.162
1.54957,3.727
1.50115,3.625
1.49709,3.705
1.46445,3.628
1.06671,2.605
1.04296,2.563
1.06148,2.514
1.07095,2.642
1.07778,2.603
1.1,2.657
1.08734,2.855
1.12087,2.921
1.09603,2.828
1.10754,2.882
1.54557,4.033
1.5438,4.107
1.52634,3.894
1.4135,2.787
1.37055,2.869
1.39422,2.76
1.38303,2.915
1.08493,3.105
1.05558,3.026
1.06185,3.079
1.06828,3.24
1.06899,3.223
1.06122,3.195
1.03904,3.202
1.27871,3.112
1.26155,3.423
1.26399,3.421
1.30876,3.255
1.04153,3.56
1.03501,3.582
1.02951,3.552
1.33541,3.805
1.33145,3.83
1.03266,3.587
1.03276,3.589
1.02255,3.535
1.03729,3.575
1.02711,2.16
1.04639,2.396
1.04836,2.391
1.02058,2.372
1.05594,2.466
1.05101,2.519
1.01102,3.374
1.03565,3.473
1.04073,3.476
1.29439,3.502
1.31603,3.543
1.29712,3.547
1.3099,3.439
0.979316,3.25
1.34511,3.504
1.36318,3.403
1.06609,2.494
1.09196,2.397
1.0907,2.367
1.0955,2.516
1.10297,2.55
1.02314,3.43
1.01384,3.419
1.02684,3.443
0.991572,3.326
1.18598,2.911
1.19105,2.898
1.21925,3.052
1.17168,2.786
1.30361,2.82
1.30841,2.805
1.23611,2.993
1.31928,2.881
1.32772,2.808
1.28203,2.956
1.16782,2.853
1.20312,2.902
1.21038,2.878
1.21514,2.88
1.2311,2.932
1.22667,2.77
1.22545,2.792
0.879892,2.163
0.847894,2.029
0.841308,2.093
1.37095,2.647
1.33756,2.788
1.33215,2.778
1.32989,2.791
1.03628,2.329
1.0438,2.277
1.04146,2.076
1.06287,2.133
0.880507,2.075
1.07371,2.69
1.06042,2.463
0.88495,2.163
0.859022,2.043
0.84675,1.967
0.848304,1.942
0.857825,1.998
0.907534,1.096
0.895123,1.073
0.888335,0.881
0.90096,1.062
0.89866,1.079
0.96441,3.23
0.953581,3.16
0.953007,3.036
0.890224,0.907
0.903385,0.894
0.945785,3.105
1.08589,2.875
1.0748,2.784
1.05219,2.872
0.899041,0.727
0.903075,0.748
1.11444,2.963
0.928943,0.821
0.926357,0.803
0.936199,0.8
0.922961,0.792
0.951118,0.833
0.938851,2.867
0.914731,0.826
0.920542,0.808
0.918374,0.87
0.896612,0.881
0.976128,2.906
0.964409,2.895
0.985261,2.953
1.00264,3.09
0.90079,0.81
0.929293,0.798
0.9044,0.737
0.916644,0.723
1.24776,3.409
1.23771,3.462
1.21265,3.415
1.20833,3.375
1.20026,3.358
0.947382,0.921
0.930808,0.875
0.922641,0.891
0.898003,0.823
0.889176,0.901
1.28301,3.457
0.91994,0.952
1.01905,3.084
1.01182,3.07
0.88602,0.958
1.03874,3.207
1.05611,3.268
1.05972,3.199
1.03676,3.21
1.19635,2.793
0.88271,0.883
