coulomb,lj
-10602.46484375,-1401.060546875
-10627.22265625,-1358.852294921875
-10702.583984375,-1559.913330078125
-9909.1875,-1450.90771484375
-10858.943359375,-1363.36474609375
-11138.580078125,-1430.9071044921875
-10719.234375,-1490.8223876953125
-10653.65625,-1576.6490478515625
-10832.310546875,-1527.334228515625
-10560.169921875,-1597.7696533203125
-10851.474609375,-1495.71923828125
-10626.646484375,-1433.83935546875
-11580.21484375,-1496.58984375
-11177.501953125,-1627.4852294921875
-11353.037109375,-1588.53125
-11331.494140625,-1572.1212158203125
-11202.458984375,-1559.393798828125
-11390.810546875,-1497.533935546875
-11205.15625,-1502.54296875
-11294.486328125,-1662.3345947265625
-11520.05078125,-1584.2314453125
-11481.5234375,-1374.81494140625
-11410.12890625,-1343.976806640625
-11753.4453125,-1465.581787109375
-11597.25390625,-1585.823486328125
-11224.4765625,-1563.2392578125
-11476.91015625,-1551.564697265625
-11421.466796875,-1580.128662109375
-11858.60546875,-1370.4375
-11353.052734375,-1495.3929443359375
-11466.8046875,-1419.630859375
-11460.921875,-1445.831787109375
-11024.087890625,-1558.7503662109375
-10856.2578125,-1676.1539306640625
-11205.544921875,-1419.7095947265625
-11212.16015625,-1486.72265625
-10898.703125,-1600.2530517578125
-11638.03515625,-1475.240234375
-11607.12109375,-1414.522705078125
-11018.751953125,-1556.2880859375
-11089.0703125,-1560.63916015625
-11170.73828125,-1760.573974609375
-10995.41796875,-1596.501708984375
-11368.048828125,-1706.541259765625
-10638.771484375,-1692.656005859375
-10967.34765625,-1619.274658203125
-11382.5625,-1553.00390625
-11756.34765625,-1397.4385986328125
-11887.36328125,-1731.5029296875
-11694.802734375,-1738.9189453125
-11433.48828125,-1638.321533203125
-12078.546875,-1661.261962890625
-11456.31640625,-1717.1885986328125
-11467.173828125,-1705.6103515625
-11982.248046875,-1607.1053466796875
-11298.515625,-1792.5224609375
-11683.55859375,-1617.852783203125
-11723.0234375,-1624.07177734375
-11769.779296875,-1569.566650390625
-11522.48046875,-1574.6544189453125
-10848.564453125,-1774.8251953125
-11246.119140625,-1603.013671875
-11394.23828125,-1543.785400390625
-11356.517578125,-1572.2535400390625
-11612.654296875,-1635.298583984375
-11449.08203125,-1604.788330078125
-11503.640625,-1512.200927734375
-10931.578125,-1782.301513671875
-11337.35546875,-1565.717041015625
-10979.607421875,-1700.299560546875
-11280.60546875,-1591.133056640625
-11243.095703125,-1617.12451171875
-11601.55078125,-1581.64306640625
-11197.771484375,-1750.9044189453125
-11312.958984375,-1604.067626953125
-10909.3359375,-1732.7816162109375
-10627.150390625,-1625.78466796875
-11105.302734375,-1570.4150390625
-10720.021484375,-1670.511474609375
-10623.765625,-1622.954345703125
-11415.94921875,-1461.7108154296875
-10901.2109375,-1616.296630859375
-10684.826171875,-1644.3927001953125
-10805.375,-1589.1114501953125
-11306.728515625,-1735.4217529296875
-11703.390625,-1603.046142578125
-11158.78125,-1544.862060546875
-11845.392578125,-1530.95703125
-11088.642578125,-1703.8583984375
-10650.015625,-1712.255859375
-11294.3828125,-1661.6748046875
-10797.439453125,-1692.4609375
-11045.939453125,-1503.888427734375
-11441.076171875,-1659.12451171875
-11138.66015625,-1688.49609375
-11081.5,-1531.0850830078125
-11600.10546875,-1537.62060546875
-11072.11328125,-1516.012939453125
-11053.8359375,-1556.53857421875
-10746.67578125,-1521.514892578125
-10634.197265625,-1585.474853515625
-10446.337890625,-1661.02294921875
-10570.798828125,-1649.260009765625
-10278.03515625,-1566.6920166015625
-10428.828125,-1527.19775390625
-10094.328125,-1790.895263671875
-10493.962890625,-1535.839111328125
-10373.109375,-1643.6424560546875
-10340.8046875,-1638.8284912109375
-10569.54296875,-1611.1329345703125
-10314.314453125,-1730.4154052734375
-10434.6875,-1629.68994140625
-10710.595703125,-1654.42333984375
-10949.306640625,-1704.1014404296875
-11079.859375,-1641.396484375
-10670.44921875,-1512.443603515625
-10544.38671875,-1627.962890625
-10656.466796875,-1583.4639892578125
-10342.404296875,-1576.2960205078125
-10940.294921875,-1579.1962890625
-10858.5546875,-1630.7069091796875
-11402.40234375,-1512.268798828125
-11214.29296875,-1494.288818359375
-10762.513671875,-1576.453857421875
-10653.892578125,-1564.5880126953125
-10853.73046875,-1645.8197021484375
-11172.66796875,-1606.0745849609375
-10877.724609375,-1611.684814453125
-10686.44921875,-1646.1116943359375
-11075.91015625,-1558.984130859375
-10814.888671875,-1587.606689453125
-10742.3984375,-1661.8956298828125
-10894.005859375,-1551.5068359375
-11116.9296875,-1520.427001953125
-10961.306640625,-1518.96875
-10747.224609375,-1505.0372314453125
-10841.732421875,-1501.012451171875
-11227.3203125,-1551.5537109375
-10742.39453125,-1569.031982421875
-10218.38671875,-1553.2052001953125
-10075.638671875,-1656.0697021484375
-10629.30859375,-1547.8814697265625
-11013.0625,-1382.3172607421875
-10430.7578125,-1497.2677001953125
-10702.560546875,-1446.89013671875
-10206.052734375,-1521.9930419921875
-10727.01953125,-1650.744140625
-10629.234375,-1555.2025146484375
-10807.55078125,-1634.2362060546875
-10283.02734375,-1579.520263671875
-10414.826171875,-1557.3516845703125
-10485.458984375,-1640.0355224609375
-10680.7421875,-1635.58837890625
-10850.9296875,-1546.03125
-10775.953125,-1471.4388427734375
-10508.505859375,-1457.0718994140625
-10478.013671875,-1555.30517578125
-10238.4140625,-1740.3594970703125
-11237.02734375,-1614.861083984375
-10604.66015625,-1580.51123046875
-10760.822265625,-1657.52734375
-10762.802734375,-1509.1248779296875
-10813.62109375,-1476.051025390625
-10853.947265625,-1708.772705078125
-11274.287109375,-1472.9599609375
-11319.2109375,-1388.40771484375
-10646.353515625,-1472.708251953125
-11006.509765625,-1654.01416015625
-10692.9375,-1659.181396484375
-10767.4453125,-1490.157958984375
-11299.21875,-1486.291259765625
-10960.21484375,-1554.230712890625
-10834.474609375,-1695.547119140625
-11064.806640625,-1626.8157958984375
-10778.14453125,-1572.0390625
-11258.90234375,-1647.1484375
-11406.2578125,-1594.1787109375
-11169.0625,-1522.068115234375
-10856.828125,-1591.0462646484375
-10771.5234375,-1708.116943359375
-10567.705078125,-1658.370361328125
-10738.275390625,-1478.9111328125
-10456.94140625,-1713.259033203125
-10786.408203125,-1659.3717041015625
-10639.28125,-1568.1982421875
-10797.642578125,-1548.7470703125
-10763.22265625,-1623.172119140625
-10403.744140625,-1513.187255859375
-11066.41796875,-1455.5640869140625
-10948.5703125,-1440.9998779296875
-10937.546875,-1489.2666015625
-10825.330078125,-1642.8009033203125
-11063.3984375,-1624.3428955078125
-10667.9609375,-1492.968505859375
-10839.40234375,-1551.109375
-10851.58203125,-1694.1806640625
-10988.36328125,-1486.881103515625
-10830.033203125,-1500.781494140625
-10728.220703125,-1561.64990234375
-10203.30078125,-1501.510009765625
-11075.958984375,-1454.08251953125
-10842.349609375,-1631.548095703125
-10961.171875,-1538.36181640625
-10755.31640625,-1530.582275390625
-10585.99609375,-1501.334716796875
-10469.23046875,-1556.694580078125
-10437.4296875,-1616.9056396484375
-10497.0234375,-1507.9833984375
-10708.802734375,-1530.28857421875
-10435.158203125,-1690.418212890625
-10551.0859375,-1372.2301025390625
-10859.9609375,-1448.564453125
-10635.140625,-1601.624267578125
-10929.40234375,-1530.694091796875
-10908.74609375,-1629.56201171875
-11465.30859375,-1528.9814453125
-10962.57421875,-1540.69677734375
-10835.861328125,-1513.12646484375
-10747.26171875,-1470.010986328125
-11362.041015625,-1427.039794921875
-10914.546875,-1483.041259765625
-10599.716796875,-1388.670166015625
-10235.603515625,-1517.536865234375
-10408.3046875,-1633.2001953125
-10402.0703125,-1459.00537109375
-10093.078125,-1514.3570556640625
-10207.48828125,-1493.8232421875
-9955.04296875,-1581.9434814453125
-10786.0234375,-1507.470703125
-10354.45703125,-1441.2744140625
-10303.01171875,-1556.05712890625
-10362.787109375,-1394.014404296875
-10417.6171875,-1473.13623046875
-10246.869140625,-1553.505615234375
-10238.765625,-1501.5458984375
-10508.9375,-1420.3759765625
-10215.955078125,-1535.8076171875
-9977.482421875,-1664.332763671875
-10187.0625,-1437.00732421875
-9559.37109375,-1528.58740234375
-9919.12890625,-1427.9639892578125
-10189.05859375,-1527.787353515625
-10356.13671875,-1468.117431640625
-10057.595703125,-1583.3521728515625
-10410.046875,-1470.5045166015625
-10392.376953125,-1549.60693359375
-10317.275390625,-1580.510009765625
-10390.517578125,-1462.9583740234375
-10720.75390625,-1515.308837890625
-10035.6328125,-1540.1409912109375
-10320.212890625,-1563.2012939453125
-10045.478515625,-1500.179443359375
-10177.583984375,-1557.427001953125
-10021.3828125,-1510.06591796875
-10338.37890625,-1504.267333984375
-10482.47265625,-1446.41650390625
-10079.830078125,-1418.1871337890625
-10022.92578125,-1554.906494140625
-10188.2109375,-1583.2528076171875
