coulomb,lj
-12302.6015625,-1375.2373046875
-12136.59375,-1467.0439453125
-12145.470703125,-1338.90576171875
-12206.435546875,-1317.65576171875
-12091.046875,-1341.013671875
-12287.755859375,-1372.8258056640625
-11791.916015625,-1270.10791015625
-12029.408203125,-1302.232177734375
-12110.490234375,-1152.452392578125
-12066.453125,-1394.425048828125
-12259.20703125,-1393.42626953125
-12410.91796875,-1243.3531494140625
-12395.87890625,-1339.5889892578125
-12539.16796875,-1359.456298828125
-13098.9765625,-1188.8702392578125
-12355.37109375,-1258.4578857421875
-12053.416015625,-1370.34033203125
-12329.94140625,-1282.285888671875
-12525.44140625,-1287.000244140625
-12299.77734375,-1348.4482421875
-12650.8203125,-1238.577880859375
-12327.4140625,-1326.7596435546875
-12848.197265625,-1186.9459228515625
-12289.091796875,-1282.362548828125
-12352.5234375,-1342.366455078125
-12452.3828125,-1321.505859375
-12200.390625,-1310.3507080078125
-12167.68359375,-1365.982177734375
-12506.203125,-1466.7791748046875
-12898.1640625,-1414.896240234375
-12904.060546875,-1251.8050537109375
-12816.888671875,-1394.156982421875
-12939.900390625,-1270.0335693359375
-12672.66796875,-1331.0880126953125
-13008.92578125,-1384.411865234375
-12753.525390625,-1207.3511962890625
-12606.634765625,-1319.9560546875
-12689.52734375,-1258.962158203125
-12935.029296875,-1184.4052734375
-12817.765625,-1171.769287109375
-12933.232421875,-1331.519775390625
-12655.796875,-1330.4407958984375
-12581.9921875,-1345.263916015625
-12610.537109375,-1265.283935546875
-12408.34765625,-1490.65771484375
-12614.6875,-1364.1539306640625
-12746.75390625,-1360.401123046875
-13102.0,-1293.157958984375
-12591.35546875,-1313.2506103515625
-12430.89453125,-1271.4757080078125
-12974.0234375,-1242.31640625
-12915.09765625,-1234.930419921875
-13051.0546875,-1168.8494873046875
-12987.927734375,-1137.12548828125
-13223.755859375,-1193.30224609375
-13086.27734375,-1366.725341796875
-13198.927734375,-1287.917724609375
-12845.125,-1350.12060546875
-13484.2734375,-1319.387939453125
-12966.298828125,-1308.606689453125
-13583.13671875,-1178.605712890625
-13101.611328125,-1307.3026123046875
-13120.185546875,-1415.2435302734375
-13256.75390625,-1256.72509765625
-12751.533203125,-1269.510009765625
-13203.62890625,-995.810546875
-12646.580078125,-1362.7279052734375
-12799.181640625,-1185.9893798828125
-13131.748046875,-1342.7828369140625
-12872.6484375,-1332.0272216796875
-13064.51171875,-1189.4901123046875
-12881.99609375,-1351.4417724609375
-12313.75,-1488.9822998046875
-12966.67578125,-1070.937744140625
-12685.2890625,-1269.76171875
-13084.029296875,-1175.5902099609375
-12535.158203125,-1430.91259765625
-12865.2265625,-1217.6082763671875
-12707.6875,-1160.7969970703125
-12708.7890625,-1340.8134765625
-12521.119140625,-1241.4476318359375
-13265.27734375,-1149.3919677734375
-13202.865234375,-1102.19873046875
-12644.677734375,-1305.15185546875
-12849.5234375,-1142.8857421875
-12727.65625,-1377.529052734375
-12889.80859375,-1303.0826416015625
-12730.720703125,-1216.71875
-12972.5546875,-1366.0673828125
-12818.48046875,-1214.400634765625
-12361.171875,-1311.50732421875
-13559.1171875,-1211.2628173828125
-12916.71875,-1276.417724609375
-13049.541015625,-1354.604248046875
-13485.037109375,-1194.34814453125
-13207.12109375,-1470.18798828125
-13479.228515625,-1091.154541015625
-13329.228515625,-1243.28173828125
-13587.353515625,-1256.027099609375
-13413.783203125,-1190.98583984375
-13415.666015625,-1215.419921875
-13105.234375,-1339.6016845703125
-13073.18359375,-1428.6568603515625
-13322.958984375,-1316.564208984375
-13252.5,-1343.3492431640625
-13202.248046875,-1374.378662109375
-13159.53515625,-1231.377685546875
-13396.333984375,-1303.001953125
-13442.998046875,-1335.3525390625
-13483.103515625,-1237.131103515625
-13448.9453125,-1286.44580078125
-13592.931640625,-1177.670654296875
-13413.0390625,-1453.7509765625
-13009.22265625,-1293.287841796875
-13733.05078125,-1393.144287109375
-13567.310546875,-1227.738037109375
-13377.9453125,-1314.7313232421875
-13011.94140625,-1372.960693359375
-13325.041015625,-1165.0889892578125
-13341.99609375,-1200.7969970703125
-13245.8046875,-1322.37939453125
-13773.45703125,-1305.313720703125
-12968.47265625,-1198.90625
-13302.8125,-1075.9002685546875
-13499.625,-1391.991455078125
-13292.33203125,-1545.7769775390625
-13949.087890625,-1340.62841796875
-13255.857421875,-1292.6407470703125
-13652.345703125,-1325.7139892578125
-13553.421875,-1314.8565673828125
-13498.23828125,-1184.1866455078125
-12906.21875,-1443.568603515625
-13012.466796875,-1348.015625
-13371.9375,-1369.36328125
-13616.404296875,-1412.39794921875
-13335.861328125,-1284.3983154296875
-13434.02734375,-1333.485107421875
-13308.4921875,-1327.80908203125
-12760.9453125,-1287.1102294921875
-13217.453125,-1270.987060546875
-13143.486328125,-1416.033447265625
-13369.9921875,-1246.4681396484375
-13158.208984375,-1542.1778564453125
-13205.69921875,-1314.96533203125
-12905.056640625,-1402.7890625
-13218.9140625,-1328.928955078125
-13046.4140625,-1213.8370361328125
-13313.2890625,-1220.09423828125
-13457.37109375,-1279.5164794921875
-12673.255859375,-1383.94091796875
-13508.107421875,-1267.924560546875
-13608.78125,-1258.065673828125
-13349.38671875,-1338.990478515625
-13477.796875,-1273.463134765625
-12651.962890625,-1427.7789306640625
-13171.970703125,-1205.3128662109375
-12994.41015625,-1137.9329833984375
-12975.859375,-1138.1488037109375
-12971.95703125,-1159.2596435546875
-12779.236328125,-1353.9400634765625
-12895.8203125,-1430.38623046875
-12760.421875,-1260.267333984375
-13018.8203125,-1293.9178466796875
-13063.515625,-1332.054443359375
-12657.509765625,-1321.4755859375
-12864.1875,-1382.9669189453125
-12557.685546875,-1342.072021484375
-12439.12890625,-1384.9974365234375
-12633.068359375,-1270.093505859375
-12760.958984375,-1248.415283203125
-12624.435546875,-1501.0233154296875
-12911.8125,-1358.5428466796875
-12533.09765625,-1364.759521484375
-12863.3046875,-1371.887451171875
-12753.138671875,-1317.3233642578125
-12742.86328125,-1290.76904296875
-12159.1328125,-1574.5087890625
-11778.859375,-1605.6962890625
-12082.4296875,-1456.0186767578125
-12486.318359375,-1358.076416015625
-12144.765625,-1443.253173828125
-12402.34375,-1378.2335205078125
-12544.9453125,-1393.45361328125
-12561.91015625,-1376.506591796875
-12450.17578125,-1362.6920166015625
-12926.2890625,-1266.868896484375
