coulomb,lj
-662.5646171569824,-86.17364501953125
-632.3700122833252,-91.41539001464844
-582.713508605957,-81.40943908691406
-628.5077991485596,-52.08641052246094
-617.2164611816406,-77.60588073730469
-647.1131839752197,-77.2374267578125
-628.6720600128174,-76.74349975585938
-675.9798545837402,-88.94866943359375
-583.9108867645264,-72.00446319580078
-621.6816101074219,-79.7734146118164
-608.1722087860107,-90.58787536621094
-664.7031917572021,-72.9573974609375
-632.5733489990234,-81.54117584228516
-604.5687236785889,-91.5618896484375
-592.3327236175537,-91.7134017944336
-630.3073196411133,-90.43541717529297
-572.7956867218018,-94.24525451660156
-611.5500354766846,-87.89507293701172
-574.9886341094971,-86.84646606445312
-631.9241542816162,-80.12579345703125
-576.9045944213867,-100.67085266113281
-546.4966564178467,-69.74388885498047
-594.9426956176758,-90.42295837402344
-659.2166538238525,-77.12193298339844
-619.403886795044,-92.28375244140625
-579.8700981140137,-78.93339538574219
-598.8562145233154,-89.13225555419922
-664.9042720794678,-80.97883605957031
-630.4150619506836,-90.02397155761719
-651.9511756896973,-75.12333679199219
-640.677656173706,-95.98512268066406
-599.7841472625732,-82.83748626708984
-616.6572704315186,-71.86515808105469
-620.528284072876,-85.30219268798828
-673.3363304138184,-85.82437896728516
-623.6731052398682,-86.88626098632812
-630.693998336792,-85.40375518798828
-655.7884483337402,-76.6385269165039
-623.9831771850586,-83.98086547851562
-645.3551168441772,-62.92885971069336
-677.07248878479,-85.10355377197266
-694.2493019104004,-67.18115997314453
-691.4549942016602,-65.41756439208984
-629.9838886260986,-64.05414581298828
-657.518063545227,-83.18815612792969
-623.4481391906738,-65.69642639160156
-653.1350326538086,-77.18142700195312
-596.7991600036621,-81.52433013916016
-636.6803951263428,-66.55862426757812
-684.360200881958,-67.97200012207031
-662.2187957763672,-73.37238311767578
-677.4157466888428,-79.9039306640625
-638.3437938690186,-82.01657104492188
-603.1542663574219,-82.34722137451172
-645.4051218032837,-84.84725952148438
-593.3328227996826,-83.56400299072266
-564.1885089874268,-97.05729675292969
-716.2017402648926,-81.37601470947266
-660.8305282592773,-82.29840087890625
-676.885350227356,-78.89338684082031
-725.673511505127,-82.55213928222656
-648.3285913467407,-76.10167694091797
-637.2439613342285,-87.9320297241211
-665.8100833892822,-94.32872009277344
-686.4378681182861,-71.48042297363281
-602.5666723251343,-83.92681121826172
-671.0245018005371,-87.81952667236328
-654.1885986328125,-74.50286865234375
-608.440710067749,-72.34650421142578
-598.6925201416016,-78.15818786621094
-628.0530529022217,-75.85869598388672
-672.4259834289551,-73.1275634765625
-645.006555557251,-98.91320037841797
-654.6821269989014,-75.41960144042969
-606.4590635299683,-76.51814270019531
-728.8548011779785,-87.66260528564453
-679.3084201812744,-69.661865234375
-584.1560230255127,-94.31685638427734
-597.0969715118408,-89.82981872558594
-622.4726295471191,-87.9218521118164
-678.6305351257324,-63.113380432128906
-602.3843126296997,-83.05987548828125
-689.849006652832,-76.44209289550781
-646.633903503418,-61.90990447998047
-586.4089736938477,-65.18563842773438
-621.6690063476562,-87.74653625488281
-614.3163928985596,-78.3710708618164
-672.7935104370117,-72.17647552490234
-659.8905076980591,-71.57022857666016
-656.0959987640381,-71.69062042236328
-690.5697746276855,-77.1187515258789
-637.837833404541,-78.23951721191406
-609.5194396972656,-80.9720458984375
-666.5792713165283,-79.43583679199219
-618.880485534668,-104.14986419677734
-682.616717338562,-85.69811248779297
-680.3985185623169,-63.6575927734375
-678.6675701141357,-86.03901672363281
-658.5566730499268,-75.78192138671875
-679.676851272583,-64.12034606933594
-653.0751304626465,-98.22649383544922
-563.6683444976807,-66.49140930175781
-642.1247062683105,-92.09612274169922
-679.0753402709961,-80.70781707763672
-685.9827938079834,-77.94731903076172
-606.9229545593262,-93.2509536743164
-644.7035255432129,-55.843753814697266
-671.6935138702393,-64.3105239868164
-635.4915637969971,-76.47189331054688
-606.2524147033691,-100.59178161621094
-649.5840339660645,-85.65751647949219
-609.8007907867432,-58.481224060058594
-631.3301067352295,-75.75689697265625
-635.8252964019775,-64.73611450195312
-695.2547388076782,-93.2367172241211
-661.9755325317383,-61.77074432373047
-651.9540462493896,-71.38887786865234
-625.8687934875488,-77.01978302001953
-682.1946182250977,-81.42131805419922
-650.4961109161377,-84.55784606933594
-637.0168991088867,-78.4168701171875
-583.842586517334,-61.70629119873047
-637.3864421844482,-91.33560180664062
-600.8201370239258,-81.80133056640625
-633.260721206665,-82.8886489868164
-609.26780128479,-79.77812194824219
-636.2833232879639,-83.07009887695312
-625.4596405029297,-72.6800765991211
-629.3597984313965,-76.26497650146484
-608.4786128997803,-73.71926879882812
-570.31077003479,-90.5807113647461
-610.9973812103271,-86.97798919677734
-644.7894668579102,-43.416229248046875
-586.2386245727539,-77.58800506591797
-614.0650997161865,-81.72832489013672
-594.0257167816162,-87.42427062988281
-623.5851135253906,-89.61891174316406
-649.9504871368408,-66.51309967041016
-582.6744794845581,-70.9289779663086
-576.0399932861328,-96.0928955078125
-604.2438850402832,-91.36005401611328
-621.6893224716187,-74.1084213256836
-644.0750637054443,-84.37133026123047
-649.538610458374,-72.6599349975586
-603.6160488128662,-96.41458129882812
-609.5897197723389,-63.99510955810547
-591.1515979766846,-74.48914337158203
-656.0945014953613,-80.941162109375
-606.5076637268066,-93.06818389892578
-610.9143619537354,-76.26359558105469
-634.8733024597168,-74.2889404296875
-633.5984201431274,-69.60093688964844
-611.7448978424072,-89.25872802734375
