time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
0,5,7,5,11,8,8,3,11,6,12,4,9,6,10,7,17,6,10,4,10,8,15
10,5,8,6,9,3,10,7,14,7,14,7,13,9,13,4,13,7,10,6,17,4,7
20,2,5,9,14,5,9,5,10,8,17,6,10,4,13,5,4,4,15,8,12,5,19
30,2,6,8,14,8,11,3,9,6,15,10,15,5,13,5,6,9,17,2,6,8,12
40,0,1,11,14,4,13,6,14,5,10,6,15,7,10,4,13,9,11,7,14,4,9
50,4,7,9,12,5,13,7,11,2,9,11,17,6,13,5,8,3,10,7,15,4,10
60,6,7,7,16,6,11,5,12,9,13,4,13,8,12,6,13,7,11,7,14,5,8
70,5,9,4,8,5,9,6,14,4,7,7,13,8,18,5,9,1,10,11,17,5,11
80,3,6,6,12,8,9,2,14,6,8,7,13,5,14,5,13,4,7,6,14,9,14
90,4,8,7,14,5,11,5,8,5,10,7,15,5,12,4,9,5,10,7,14,5,14
100,1,2,5,12,6,12,7,12,10,11,3,13,6,10,11,17,1,11,7,12,7,10
110,4,0,1,12,10,9,3,10,7,8,6,18,8,10,2,13,9,11,4,9,4,12
120,4,9,7,13,7,9,2,14,9,10,4,12,7,11,3,10,9,12,6,12,7,14
130,2,5,6,7,8,12,5,13,5,10,5,12,6,9,7,15,7,11,4,10,4,14
140,3,6,5,10,8,12,5,13,5,12,4,8,6,12,9,14,4,11,8,10,3,17
150,4,3,3,9,4,8,7,12,7,11,6,14,6,10,7,17,4,9,8,12,3,12
160,7,11,3,11,7,12,7,13,3,10,7,16,8,13,8,10,1,10,7,12,6,14
170,7,11,5,13,7,9,4,12,8,12,7,14,5,10,4,10,7,14,3,14,10,12
