time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
0,3,4,7,14,5,12,9,12,4,15,7,7,3,13,11,13,4,12,7,9,4,13
10,3,4,6,14,8,12,3,12,6,9,5,13,7,9,8,15,3,10,7,14,5,9
20,1,2,7,10,3,13,9,8,7,20,5,12,5,14,7,7,6,17,6,8,6,18
30,2,3,5,12,7,13,8,11,7,10,5,14,5,11,5,9,7,14,9,14,3,10
40,3,5,5,11,6,9,8,14,5,13,9,12,3,13,6,11,8,15,6,14,7,10
50,2,6,5,10,5,9,10,15,2,10,5,8,9,16,5,15,5,8,7,13,8,12
60,4,5,5,9,7,12,7,14,3,10,7,10,6,13,3,8,5,13,6,8,6,13
70,2,5,4,10,8,15,5,11,7,14,5,6,4,11,8,14,6,14,5,8,4,10
80,4,4,4,8,7,14,9,15,4,6,8,14,4,8,6,14,8,9,7,13,6,14
90,4,6,4,14,8,11,5,12,5,9,5,15,8,13,6,10,5,9,5,10,7,13
100,2,5,4,7,6,8,5,11,8,13,7,16,2,10,6,7,4,12,9,10,4,13
110,3,5,4,9,5,14,9,13,2,11,10,13,4,15,6,10,6,8,6,16,6,15
120,4,10,4,7,5,9,7,13,4,16,6,10,7,14,6,15,5,10,9,16,5,12
130,1,8,8,10,3,12,7,10,6,10,5,13,6,12,6,14,8,17,5,13,7,11
140,2,6,7,19,7,11,6,7,4,14,10,13,5,11,7,13,5,12,7,14,4,8
150,4,7,6,9,4,12,11,16,3,11,6,11,7,18,9,12,4,14,9,15,6,9
160,4,4,2,10,8,13,5,11,2,8,8,13,7,14,4,9,4,11,9,14,7,14
170,2,5,5,10,7,11,5,8,6,18,8,10,5,12,8,15,6,15,2,5,6,15
180,2,4,5,12,7,9,7,12,3,12,7,12,5,11,5,15,7,9,8,16,7,9
190,2,4,5,11,7,10,4,14,9,17,5,6,6,14,9,15,6,16,6,14,8,11
200,3,7,5,8,5,11,6,15,5,10,8,15,6,14,2,9,10,12,4,14,6,9
210,2,5,7,9,3,13,8,11,4,13,8,9,7,18,3,4,7,14,8,14,5,12
