time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
0,8,14,4,10,7,13,6,18,7,8,5,13,5,13,8,17,6,13,4,6,5,15
10,5,9,3,11,9,14,4,8,8,17,6,9,5,13,8,14,8,15,6,12,2,9
20,6,19,6,4,5,11,6,9,4,15,7,10,7,17,6,10,4,8,9,17,7,13
30,4,7,6,11,5,13,5,10,8,10,6,14,4,11,8,10,4,15,5,9,7,11
40,4,10,7,11,6,9,4,9,9,14,5,12,10,14,3,11,6,13,9,15,4,11
50,9,18,4,10,5,14,8,10,4,12,6,13,9,9,4,16,8,12,6,13,9,13
60,5,11,7,13,7,14,4,13,5,6,7,12,5,12,7,16,6,11,7,12,4,12
70,4,10,4,8,5,10,8,9,4,10,4,15,10,17,6,11,5,10,8,16,6,9
80,5,5,3,12,7,11,5,12,6,9,5,14,5,12,5,10,8,14,7,15,5,7
90,5,6,5,13,4,8,4,10,5,12,9,19,6,10,7,12,1,9,11,19,5,8
100,7,9,4,13,8,11,6,12,6,15,8,16,3,10,3,9,9,14,2,11,6,10
110,9,12,4,9,3,10,7,11,6,16,8,8,4,11,8,12,6,13,7,8,4,14
120,4,8,5,10,3,8,6,11,7,13,6,10,6,15,6,10,6,13,0,9,9,14
130,10,15,6,9,5,9,7,15,9,14,6,11,3,5,9,15,8,17,5,10,5,16
140,4,9,8,10,5,9,6,14,9,14,4,12,4,10,8,10,10,17,2,6,7,14
150,3,9,9,18,4,10,5,10,7,15,2,8,11,12,4,14,9,11,2,11,7,14
160,4,11,4,8,7,11,5,12,6,9,8,14,5,12,6,12,8,17,6,10,2,13
170,6,11,5,13,6,8,2,13,7,11,7,14,5,11,6,10,6,12,7,17,5,8
180,2,6,7,13,4,9,7,13,5,12,4,5,4,9,5,13,10,10,4,14,9,11
190,4,13,9,9,2,12,7,7,6,15,5,16,8,12,6,13,4,12,9,15,4,12
200,6,10,4,10,6,8,4,13,9,17,3,8,5,10,5,13,8,10,4,10,7,16
210,9,12,8,13,6,14,4,12,5,8,7,14,7,15,5,9,4,11,9,17,8,9
220,3,9,11,15,3,7,6,13,8,17,8,15,4,6,8,14,5,15,5,11,6,14
230,4,7,7,14,4,7,8,17,4,9,6,12,7,10,5,16,6,11,6,15,6,11
240,10,11,5,15,5,11,6,11,5,10,6,18,7,12,6,10,6,13,5,9,4,15
250,6,8,6,13,7,11,5,13,6,17,8,10,7,15,7,11,5,13,6,11,4,11
260,4,4,6,15,7,15,7,14,2,8,8,16,5,9,7,11,5,17,8,11,9,14
270,3,8,5,12,8,13,5,12,8,10,4,13,6,9,7,14,5,12,6,17,8,14
280,5,10,6,14,5,10,5,14,7,11,5,9,7,13,6,13,8,14,3,7,10,15
290,5,11,4,13,9,10,7,15,6,11,5,12,9,17,7,12,2,11,7,9,5,12
300,5,4,5,14,6,7,2,15,6,8,8,17,9,12,3,12,7,9,6,13,6,10
310,3,6,8,11,5,13,4,9,5,11,9,13,5,9,6,10,6,13,6,14,9,14
320,3,5,7,13,4,9,4,13,8,10,7,12,8,14,3,12,7,13,6,13,9,13
330,4,7,6,14,7,8,4,15,9,10,3,11,9,13,6,13,4,9,6,15,5,11
340,3,4,7,18,6,11,7,10,5,9,5,12,6,12,5,11,7,13,4,13,8,11
350,6,10,12,14,3,12,7,14,7,12,7,16,7,8,3,12,9,15,4,13,5,9
360,4,7,6,10,4,8,6,11,4,13,5,11,9,13,6,14,7,12,6,12,5,11
370,2,10,8,13,8,13,7,9,3,13,10,11,1,13,11,13,6,13,7,14,7,13
380,2,6,7,12,8,12,4,13,6,11,4,11,11,17,6,7,8,24,4,7,4,11
390,7,9,8,13,2,12,6,11,6,12,9,13,5,13,3,10,6,9,7,12,4,12
400,4,11,7,11,5,6,7,13,8,14,3,14,9,8,6,18,4,7,6,12,9,18
410,7,14,6,12,7,13,5,11,6,15,7,10,7,12,4,11,7,16,7,11,2,12
420,4,12,7,11,8,14,4,12,9,12,4,15,5,7,3,7,8,18,9,10,2,11
430,7,13,6,11,5,11,6,13,4,14,6,8,6,12,5,12,5,11,6,10,7,16
440,2,3,9,18,4,9,7,17,7,15,8,15,5,10,11,15,4,10,4,9,6,17
450,5,10,6,11,6,14,8,11,4,10,6,15,6,13,8,12,5,14,6,13,4,13
460,6,9,6,13,4,6,11,15,2,15,7,15,8,11,5,10,8,14,5,11,5,13
470,4,8,4,10,5,10,7,12,4,12,7,10,3,8,9,17,6,11,4,9,5,12
480,8,13,5,10,4,9,6,10,4,11,6,14,9,11,5,15,4,9,6,14,5,13
490,6,10,3,13,9,9,3,12,9,14,5,12,7,14,6,8,8,16,5,13,6,15
500,5,11,6,10,5,13,7,11,6,13,3,9,11,13,5,12,4,13,5,10,5,11
510,3,9,8,13,7,14,6,8,4,16,7,10,3,11,6,13,7,7,5,16,6,13
520,6,9,4,12,7,15,7,11,5,7,5,11,6,12,5,12,10,16,6,10,6,9
530,6,10,8,15,5,13,5,10,8,14,7,10,6,14,8,14,5,16,8,8,6,12
540,5,10,7,12,5,13,10,15,3,11,7,12,5,14,6,11,5,11,5,13,7,10
550,6,14,6,8,6,14,6,15,6,13,5,8,5,12,7,10,7,13,7,10,3,9
560,4,12,7,13,6,10,5,14,8,11,5,13,4,8,6,9,4,9,6,12,7,16
570,6,10,6,13,3,7,10,13,5,16,4,12,8,9,5,14,7,10,3,14,7,12
580,5,11,4,10,6,10,6,16,5,12,6,13,6,14,3,4,10,20,4,9,6,8
590,5,8,5,13,8,11,3,13,8,9,6,15,7,11,5,12,6,13,6,10,5,12
600,4,8,9,14,5,15,6,14,8,10,7,17,5,6,6,18,6,12,5,7,5,12
610,4,11,7,11,3,10,10,18,5,9,5,7,8,10,6,11,6,12,6,15,5,11
620,8,15,2,10,5,9,5,12,7,15,8,10,3,11,7,11,5,14,8,13,6,12
630,3,8,6,8,7,10,7,18,6,9,7,10,6,15,6,12,7,14,7,11,2,13
640,5,14,6,8,2,14,10,10,4,12,10,13,2,9,4,13,7,12,4,6,5,15
650,4,11,5,11,5,11,7,11,5,12,8,13,6,15,4,10,8,14,4,12,4,11
660,7,15,7,14,6,9,4,11,7,11,7,12,4,14,8,15,6,10,7,14,7,12
670,4,15,6,6,4,12,8,13,3,10,6,9,5,11,8,15,8,13,3,15,7,12
680,1,8,8,13,5,13,6,8,5,15,9,11,2,12,6,12,7,12,5,15,8,10
690,4,8,6,14,6,15,6,5,6,17,7,5,4,18,9,9,4,11,8,14,8,17
700,6,9,7,13,6,17,8,8,7,14,6,12,5,13,7,12,5,12,6,12,6,14
710,7,7,4,14,6,8,7,15,7,13,6,12,8,13,6,11,6,16,7,9,7,16
720,6,11,4,15,6,8,6,10,4,13,9,12,6,11,4,16,10,8,4,13,7,12
730,5,5,5,11,6,11,3,11,6,14,9,15,4,13,6,6,8,15,4,12,5,14
740,2,5,8,15,6,10,6,16,6,13,8,11,5,12,5,12,6,12,5,10,4,12
750,6,13,4,8,8,12,4,12,7,12,6,12,5,8,7,12,5,13,9,12,5,8
760,5,4,5,8,5,15,6,11,4,12,9,13,5,9,7,13,5,12,8,18,4,10
770,3,8,8,12,4,10,4,11,6,12,8,13,6,13,4,9,4,14,8,11,6,12
780,3,3,7,15,5,12,7,13,7,12,6,11,4,11,6,13,7,8,7,15,6,12
790,10,12,3,9,7,13,7,14,6,12,7,17,7,10,4,6,5,15,6,14,8,15
800,2,10,7,6,5,13,5,10,7,11,3,9,6,9,8,15,5,12,7,13,4,13
810,5,9,7,13,7,12,5,12,5,14,6,13,6,14,6,11,5,8,5,13,7,15
820,4,3,5,15,6,12,6,12,6,11,5,12,8,11,4,11,5,9,6,13,6,15
830,5,7,7,19,6,10,5,12,10,18,6,12,3,5,6,13,8,15,4,14,9,9
840,7,11,6,12,5,12,5,9,6,14,6,11,9,14,4,11,6,11,5,18,10,9
850,3,7,9,13,6,14,3,9,5,14,10,12,4,12,7,8,6,21,8,8,6,12
860,3,5,10,17,4,10,5,11,8,15,4,12,7,8,6,14,5,11,6,11,7,13
870,4,7,11,16,3,12,6,13,6,14,9,14,4,8,5,12,6,15,7,9,7,12
880,7,17,7,15,7,12,7,13,4,7,4,11,7,15,7,10,7,14,9,14,2,10
890,3,11,9,14,4,11,9,15,8,12,7,13,4,8,8,19,6,9,3,12,5,7
900,11,19,5,12,6,11,8,9,5,17,8,16,7,11,6,14,7,10,7,17,9,11
910,4,9,6,14,6,14,5,9,7,16,8,11,4,13,7,13,6,12,9,15,4,10
920,4,7,6,13,8,11,4,13,7,10,7,19,7,9,6,12,4,10,6,16,6,9
930,3,13,10,13,7,13,7,14,5,9,5,16,9,9,6,10,6,11,5,18,7,13
940,6,10,5,10,7,10,7,14,5,11,10,15,4,14,3,8,7,11,4,12,7,14
950,4,5,5,9,5,14,6,13,4,14,8,14,5,11,7,13,9,17,3,10,6,10
960,5,6,3,12,6,11,6,11,6,15,6,12,8,10,5,16,6,13,9,14,6,16
970,8,12,5,11,7,11,6,13,5,12,6,9,7,16,3,7,5,13,9,14,3,12
980,2,7,7,13,5,11,5,11,6,13,1,6,8,14,9,12,4,10,7,12,6,12
990,5,9,7,17,4,7,7,12,8,16,7,13,6,14,4,10,6,11,7,14,7,14
1000,4,9,7,14,7,12,4,12,4,14,5,8,10,18,4,8,6,14,9,17,4,10
1010,7,12,7,15,6,14,7,8,6,16,8,11,5,14,6,8,2,12,11,16,3,8
1020,7,12,5,15,3,9,9,15,2,7,5,9,7,12,2,13,7,15,7,11,5,16
1030,4,9,8,13,8,14,4,12,6,11,4,9,10,17,5,15,5,15,8,8,7,15
1040,3,8,6,14,6,8,4,13,9,13,6,12,6,17,7,12,4,11,9,14,5,13
1050,6,7,7,16,6,10,6,15,7,12,8,16,6,7,5,17,6,9,5,11,5,13
1060,7,11,3,10,8,17,5,7,5,10,8,11,3,13,7,12,5,12,6,11,4,14
1070,7,12,7,11,6,11,7,12,3,14,9,11,6,15,4,7,6,9,4,9,9,17
1080,4,6,9,14,2,9,6,11,8,16,7,12,7,14,7,7,5,17,8,11,3,9
1090,5,6,5,11,6,11,7,13,6,10,4,14,8,13,1,9,9,17,7,9,5,10
1100,6,11,8,13,8,16,3,10,9,14,4,15,10,14,6,11,6,16,7,11,5,12
1110,3,9,7,12,4,8,7,11,6,19,7,9,7,14,6,14,4,11,5,17,7,6
1120,6,13,2,5,7,12,5,10,9,14,3,13,10,17,6,12,4,14,7,12,6,10
1130,6,7,6,14,5,9,5,10,9,15,4,10,6,11,4,10,6,15,8,15,3,11
1140,3,5,10,17,1,10,10,16,7,14,6,9,4,16,7,12,7,14,4,12,6,11
1150,8,15,5,11,5,10,6,18,7,9,5,10,9,16,3,12,9,12,4,13,7,12
1160,6,8,7,15,6,15,5,6,6,15,9,14,3,14,7,11,5,11,6,9,5,13
1170,4,8,6,12,8,11,4,13,8,14,5,13,5,9,6,12,7,12,3,8,9,17
1180,8,11,6,11,1,9,9,11,4,17,9,10,4,13,8,14,5,11,6,12,3,11
1190,3,10,6,10,7,16,6,13,6,8,4,15,11,15,4,7,6,17,7,16,6,14
1200,5,9,5,12,9,10,4,17,7,8,7,17,6,9,4,15,9,12,5,12,4,8
1210,4,5,4,12,10,15,4,11,8,14,6,14,5,9,8,17,5,10,4,12,7,17
1220,5,12,6,12,4,8,7,15,8,15,4,13,6,8,8,14,5,16,5,9,6,13
1230,4,9,7,12,5,12,8,14,6,11,4,7,8,17,6,14,6,11,6,15,6,9
1240,8,10,3,13,8,10,6,14,7,11,6,16,8,15,8,16,5,10,7,17,5,9
1250,7,14,5,9,7,16,6,12,3,10,10,14,6,14,8,16,4,10,5,12,7,10
1260,2,6,6,8,6,12,5,11,5,10,5,16,6,8,5,12,7,18,7,7,5,12
1270,3,3,6,11,7,13,4,12,5,8,6,14,10,18,6,11,6,13,8,16,4,10
1280,5,8,7,12,4,10,7,13,6,12,4,13,8,12,4,11,8,18,9,12,5,12
1290,6,12,11,13,4,17,7,8,7,16,8,8,6,19,4,8,8,15,7,15,7,15
1300,7,13,6,10,7,11,6,9,5,15,9,13,6,14,7,10,3,14,9,13,5,13
1310,5,12,5,12,7,14,4,12,8,10,5,10,8,15,5,8,6,15,6,9,3,12
1320,6,11,2,8,8,14,5,16,4,4,9,19,4,8,6,13,5,15,10,14,3,11
1330,7,12,6,9,4,12,7,12,9,9,3,14,10,16,5,11,3,6,10,16,4,7
1340,3,9,10,13,5,10,2,8,10,15,8,15,5,8,4,13,9,13,5,9,5,10
1350,3,12,6,9,3,12,5,9,6,12,6,13,8,15,5,7,3,10,7,13,7,16
1360,4,6,5,10,7,13,4,9,6,8,9,16,6,14,7,13,5,12,8,9,6,18
1370,6,7,6,14,7,15,4,14,8,11,5,11,5,11,6,13,6,14,6,7,6,15
1380,4,9,7,13,5,12,9,15,7,13,8,12,1,10,8,13,4,12,9,10,4,16
1390,6,13,7,12,3,10,9,12,7,17,8,11,3,11,10,14,4,8,6,14,11,14
1400,5,10,5,11,7,9,4,13,9,11,2,10,12,16,1,8,7,9,3,15,8,10
1410,5,13,9,9,4,13,7,10,9,15,4,8,6,14,9,14,5,11,8,12,3,14
1420,6,8,5,16,7,9,6,14,6,12,5,12,7,12,9,15,7,14,6,11,5,13
1430,8,12,5,9,6,15,9,10,5,15,10,13,4,14,9,15,5,10,6,12,6,10
1440,8,14,6,10,3,12,6,7,7,13,3,11,8,10,6,14,4,16,7,9,4,12
1450,6,10,8,16,3,7,6,14,6,12,7,13,7,11,7,14,2,11,6,9,6,14
1460,8,16,5,11,6,12,6,14,4,9,6,10,6,14,4,11,6,6,4,14,5,11
1470,6,10,5,11,10,13,4,12,8,12,5,16,6,9,6,14,8,15,4,7,7,18
1480,4,7,6,14,8,14,4,12,8,16,8,10,9,14,6,11,5,10,6,10,10,20
1490,10,13,5,12,5,12,8,16,7,14,4,10,7,14,6,14,3,10,8,12,10,17
1500,5,11,6,12,8,10,3,12,8,9,5,15,7,10,6,15,6,9,5,10,8,14
1510,5,11,8,16,5,9,9,15,4,12,6,11,8,15,5,11,7,12,6,15,7,8
1520,10,14,5,14,5,10,2,10,11,14,4,17,8,7,6,13,6,10,7,13,5,11
1530,6,13,5,8,6,15,4,8,7,10,4,14,8,11,4,12,8,12,8,14,4,12
1540,4,9,9,13,3,11,8,13,8,15,6,12,6,12,8,13,3,9,10,16,7,12
1550,8,18,7,9,7,11,5,12,8,14,5,10,4,8,8,12,5,15,5,8,5,13
1560,5,12,8,10,2,10,8,13,9,15,3,13,9,11,8,17,4,10,8,9,7,18
1570,4,5,7,13,7,16,7,8,5,13,8,11,5,14,9,11,4,15,6,7,6,18
1580,5,6,6,13,5,13,8,15,10,14,3,8,5,10,8,18,4,9,4,10,7,13
1590,6,13,4,7,6,15,8,9,4,12,4,12,7,10,5,11,7,12,2,11,10,13
1600,5,11,6,10,6,12,6,10,3,9,8,11,4,11,6,10,6,17,8,8,7,14
1610,6,7,5,16,8,12,6,14,7,13,10,15,1,10,11,10,2,11,9,13,3,8
1620,6,12,7,10,5,13,7,10,6,16,6,13,7,8,4,16,5,4,4,14,8,12
1630,5,7,5,12,7,15,6,15,6,12,6,10,8,14,3,12,7,9,6,18,6,8
1640,7,14,6,12,6,8,5,17,9,16,5,11,7,15,4,8,8,12,5,16,7,10
1650,4,12,9,13,3,7,6,15,8,5,5,17,10,16,7,12,5,7,5,13,6,12
1660,7,13,4,11,9,15,10,10,4,17,5,9,6,11,7,15,5,9,7,16,6,13
1670,4,4,5,15,6,8,5,13,7,13,7,10,3,11,7,14,8,12,4,14,4,7
1680,9,17,5,9,7,15,6,11,3,12,8,17,9,15,3,7,7,13,8,14,6,10
1690,4,6,6,13,5,11,5,10,7,13,6,11,6,13,6,13,6,13,6,13,6,9
1700,6,8,5,11,4,13,6,16,7,10,9,13,3,13,6,9,6,13,5,11,7,9
1710,6,9,7,14,9,14,7,15,4,6,4,11,6,14,8,12,3,12,11,13,2,11
1720,3,4,9,17,7,13,3,12,7,12,6,13,5,8,6,11,6,12,6,15,7,11
1730,5,11,3,10,6,12,7,11,4,10,9,15,7,11,3,11,7,12,8,15,7,11
1740,3,8,6,12,7,11,5,11,9,12,5,11,5,13,8,12,8,18,4,10,3,10
1750,6,11,7,11,6,13,6,8,9,16,7,17,7,10,5,15,7,8,4,11,6,11
1760,2,3,6,10,7,13,4,12,8,15,8,15,4,13,7,11,4,9,6,11,5,17
1770,5,5,4,16,10,16,7,9,4,15,6,8,6,14,5,7,6,14,9,15,6,14
1780,5,11,8,11,7,13,9,12,3,11,9,17,3,8,7,17,6,10,5,14,9,13
1790,5,7,6,8,5,11,2,9,12,18,6,16,4,12,6,3,6,18,6,11,4,8
1800,7,11,4,10,6,14,8,17,6,8,3,12,8,11,1,10,8,12,4,14,6,8
1810,8,17,3,8,3,9,8,16,7,14,7,11,8,12,7,14,5,6,7,15,7,12
1820,4,13,8,10,6,15,7,15,4,10,8,15,5,8,4,16,8,11,5,14,5,14
1830,4,8,6,10,6,14,6,11,7,15,8,9,2,12,7,9,6,15,6,12,6,13
1840,1,4,7,11,6,11,5,12,7,13,7,15,7,13,4,10,9,18,6,11,4,9
1850,1,3,8,12,6,15,2,9,9,12,6,11,6,12,4,10,6,11,7,14,7,15
1860,7,11,7,15,5,12,6,13,6,12,4,12,5,10,7,15,5,7,3,10,6,13
1870,4,6,6,14,7,10,5,9,3,9,7,10,6,11,4,11,8,11,5,13,7,13
1880,5,10,5,12,5,7,3,10,11,13,5,14,9,15,8,15,6,10,11,18,3,10
1890,5,12,5,11,7,10,5,12,3,7,8,16,7,10,5,13,9,16,5,10,3,13
1900,7,8,3,16,10,12,3,10,5,10,6,15,6,10,5,13,7,9,2,12,10,17
1910,6,12,5,9,8,17,5,10,6,12,7,14,6,10,6,14,6,15,8,8,4,14
1920,4,11,10,12,5,15,5,11,7,11,8,11,8,14,7,11,5,11,8,15,5,13
1930,3,5,8,14,6,13,6,13,4,12,7,14,6,11,9,13,7,18,4,13,7,11
1940,1,3,3,10,8,12,6,13,4,12,6,12,10,15,4,11,6,9,8,17,5,11
1950,4,9,5,8,9,15,5,15,5,7,9,15,4,10,6,14,8,11,3,15,8,7
1960,5,7,4,12,5,9,5,16,9,13,5,8,5,14,8,10,3,9,7,15,8,12
1970,5,10,7,14,5,13,6,7,5,12,3,7,7,12,10,17,6,10,7,16,7,13
1980,6,15,5,9,6,10,10,17,3,10,4,8,10,19,4,8,5,9,7,14,8,17
1990,5,9,4,10,6,13,5,11,8,12,9,16,2,6,4,14,9,11,6,11,6,14
2000,2,6,12,17,4,10,4,12,9,17,4,10,8,13,4,10,7,16,5,11,9,15
2010,5,7,6,15,5,13,6,12,7,15,4,12,8,11,7,11,5,15,4,10,8,14
2020,6,8,12,15,1,10,5,7,7,15,8,15,4,13,9,10,3,13,6,13,6,13
2030,12,15,6,16,7,11,4,11,7,15,7,10,8,10,4,15,7,11,7,13,7,10
2040,8,9,3,17,7,8,5,12,10,15,4,14,5,9,8,16,7,12,3,10,8,13
2050,3,8,7,10,3,7,6,15,8,12,5,16,7,13,5,10,7,10,4,20,9,7
2060,6,9,9,12,3,16,5,6,4,10,5,12,8,16,5,9,6,12,6,14,5,9
2070,7,15,7,8,5,15,5,9,6,10,7,17,7,13,6,10,6,9,2,8,8,14
2080,6,8,9,17,5,11,3,6,8,18,7,16,7,13,6,11,6,15,4,10,9,16
2090,3,4,5,12,8,16,7,10,4,8,6,17,5,11,6,13,6,12,3,8,8,12
2100,4,6,3,13,9,13,8,13,2,11,6,8,3,11,10,14,3,12,7,10,7,13
2110,4,6,5,12,5,9,4,13,8,16,6,11,6,9,8,12,4,13,7,13,8,13
2120,1,5,8,11,4,12,11,12,5,15,6,8,7,18,7,8,6,14,8,20,4,8
2130,7,13,4,11,8,10,7,12,5,14,7,16,7,11,3,10,15,18,2,12,5,7
2140,4,8,6,15,10,13,2,8,7,14,4,7,5,17,8,7,5,14,9,12,5,12
2150,6,4,4,15,6,9,4,10,6,14,8,11,8,18,2,11,8,14,6,9,6,14
2160,6,9,6,12,4,17,7,9,4,16,9,10,4,15,6,11,8,12,4,11,7,12
2170,2,7,7,10,5,11,5,11,6,13,7,10,6,14,7,9,4,14,10,10,5,16
2180,3,10,8,9,5,13,6,8,8,16,6,14,5,13,8,7,6,11,5,14,7,14
2190,5,9,6,12,5,13,7,13,8,12,3,12,7,12,5,9,8,14,4,13,7,11
2200,7,10,5,13,7,13,4,8,6,13,8,18,9,11,4,11,10,13,4,9,8,11
2210,4,10,6,13,6,14,7,14,7,10,7,13,6,14,4,13,7,14,7,9,5,12
2220,3,8,9,12,6,15,7,8,5,12,3,13,8,12,3,13,8,15,6,10,4,11
2230,5,14,9,12,6,13,5,11,7,15,8,10,7,13,5,13,6,10,5,14,8,13
2240,7,9,4,15,5,8,5,11,7,10,4,9,5,8,7,10,5,19,9,8,6,14
2250,6,12,7,9,5,12,9,14,3,13,6,12,6,8,6,14,8,10,2,13,9,10
2260,5,8,6,10,5,14,9,13,3,10,7,13,8,12,5,15,6,10,4,13,9,13
2270,5,11,8,16,6,11,4,10,6,16,7,11,5,14,6,11,6,10,6,15,8,10
2280,5,10,7,13,5,11,8,16,3,10,6,11,11,14,3,15,5,7,6,12,3,8
2290,7,13,6,8,4,14,7,10,4,16,5,11,10,12,4,12,7,12,6,9,6,13
2300,6,10,5,12,8,17,8,14,4,8,5,14,7,13,9,14,2,9,8,12,9,14
2310,5,6,9,14,6,16,6,8,4,14,8,14,5,12,5,11,8,12,4,13,7,10
2320,6,6,6,12,7,19,3,4,6,14,6,12,8,15,9,13,4,13,7,11,7,15
2330,6,7,5,15,3,4,6,12,10,15,3,11,7,14,9,11,4,13,6,9,9,19
2340,3,8,8,14,8,14,3,11,11,16,5,12,4,8,7,11,6,14,7,11,5,16
2350,3,4,6,14,6,11,5,13,5,10,8,13,6,11,7,12,7,15,5,9,4,12
2360,6,6,6,20,6,8,5,12,6,14,8,11,3,13,8,15,4,9,6,10,7,10
2370,5,9,8,14,4,12,7,14,7,11,4,9,5,12,6,18,5,8,6,13,3,10
2380,8,11,4,8,4,8,10,15,3,8,6,12,8,11,4,14,6,11,7,14,6,8
2390,4,5,4,14,7,8,6,15,6,10,5,12,8,15,3,10,8,13,4,13,5,8
2400,5,10,6,11,7,11,6,13,8,17,5,9,6,12,4,12,9,12,4,10,6,13
2410,3,9,6,11,3,11,7,11,7,13,5,7,7,16,7,13,8,14,3,10,6,11
2420,4,4,3,15,8,5,3,14,8,15,5,11,4,13,8,11,8,13,5,11,7,9
2430,8,14,6,13,6,10,4,8,9,13,6,15,6,12,6,8,5,16,7,10,5,11
2440,9,16,4,12,6,9,8,14,8,17,3,6,3,12,6,10,7,16,7,11,7,17
